,number,value,datetime_start,datetime_complete,duration,params_lr,params_scheduler_gamma,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0,0.6196620583717358,2021-02-11 21:31:02.219547,2021-02-11 21:36:20.247396,0 days 00:05:18.027849,0.00076519929851394,0.9946768539305874,1.096284873918983e-05,0.7007680491551459,0.6937019969278034,0.6657450076804915,0.6442396313364055,COMPLETE
1,1,0.6998463901689708,2021-02-11 21:36:20.248042,2021-02-11 21:36:34.567932,0 days 00:00:14.319890,0.0004842400755502041,0.9984407606905239,0.00011331147221928342,0.6998463901689708,,,,PRUNED
2,2,0.6989247311827957,2021-02-11 21:36:34.568124,2021-02-11 21:36:48.650851,0 days 00:00:14.082727,0.0003503822068586413,0.991076430663367,0.00017233723963472913,0.6989247311827957,,,,PRUNED
3,3,0.6940092165898617,2021-02-11 21:36:48.651032,2021-02-11 21:37:02.835992,0 days 00:00:14.184960,0.006080208159258652,0.9927920670497742,5.040238464887277e-05,0.6940092165898617,,,,PRUNED
4,4,0.6980030721966206,2021-02-11 21:37:02.836193,2021-02-11 21:37:17.036191,0 days 00:00:14.199998,0.00040742504029402717,0.9960424922409771,0.00040291909845796076,0.6980030721966206,,,,PRUNED
5,5,0.6995391705069124,2021-02-11 21:37:17.036421,2021-02-11 21:37:31.193949,0 days 00:00:14.157528,0.0005973628535105563,0.9949401414605772,0.0004039101092854024,0.6995391705069124,,,,PRUNED
6,6,0.6995391705069124,2021-02-11 21:37:31.194156,2021-02-11 21:37:45.503040,0 days 00:00:14.308884,0.0010463987709555056,0.9929369965457973,0.00038605458322946867,0.6995391705069124,,,,PRUNED
7,7,0.634715821812596,2021-02-11 21:37:45.503226,2021-02-11 21:42:32.764623,0 days 00:04:47.261397,0.0002916959613906644,0.9977163570133415,3.003758217405026e-05,0.7032258064516129,0.6998463901689708,0.6700460829493088,0.634715821812596,PRUNED
8,8,0.6949308755760368,2021-02-11 21:42:32.764781,2021-02-11 21:42:46.916363,0 days 00:00:14.151582,0.000777090768231669,0.9919533832931866,2.3051071547712206e-05,0.6949308755760368,,,,PRUNED
9,9,0.6924731182795699,2021-02-11 21:42:46.916533,2021-02-11 21:43:01.213874,0 days 00:00:14.297341,0.00016338758483078856,0.9979685003198816,0.0006709305465374809,0.6924731182795699,,,,PRUNED
10,10,0.6138248847926268,2021-02-11 21:43:01.214063,2021-02-11 21:48:18.403690,0 days 00:05:17.189627,0.008211732167281719,0.9954040664127276,0.000285383604434052,0.6746543778801843,0.6608294930875576,0.6153609831029185,,COMPLETE
11,11,0.6531490015360983,2021-02-11 21:48:18.404372,2021-02-11 21:53:35.825647,0 days 00:05:17.421275,0.00010211107179570653,0.9958622204910841,0.00010604596969458471,0.7056835637480798,0.7010752688172043,0.6728110599078341,,COMPLETE
12,12,0.6967741935483871,2021-02-11 21:53:35.826261,2021-02-11 21:54:10.935626,0 days 00:00:35.109365,1.4814250394843193e-05,0.9949443792928363,2.4505968600984828e-06,0.7047619047619048,0.6967741935483871,,,PRUNED
13,13,0.6989247311827957,2021-02-11 21:54:10.935805,2021-02-11 21:54:46.215613,0 days 00:00:35.279808,4.508698116263049e-05,0.9965935587041256,8.812725721196926e-06,0.7013824884792627,0.6989247311827957,,,PRUNED
14,14,0.6878648233486944,2021-02-11 21:54:46.215804,2021-02-11 21:55:00.601129,0 days 00:00:14.385325,0.0038520934131158068,0.9968504738616553,6.368193643078629e-06,0.6878648233486944,,,,PRUNED
15,15,0.6964669738863287,2021-02-11 21:55:00.601373,2021-02-11 22:00:18.115821,0 days 00:05:17.514448,0.00010322139599572152,0.9923134200487288,7.578610151576327e-05,0.6986175115207374,0.6890937019969278,,,COMPLETE
16,16,0.6903225806451613,2021-02-11 22:00:18.116454,2021-02-11 22:00:32.325405,0 days 00:00:14.208951,0.019942909648399742,0.9982762900004775,1.6259971113630775e-05,0.6903225806451613,,,,PRUNED
17,17,0.6937019969278034,2021-02-11 22:00:32.325579,2021-02-11 22:05:48.960552,0 days 00:05:16.634973,1.685943503475466e-05,0.9930159605663947,2.6350615080663404e-05,0.687557603686636,,,,COMPLETE
18,18,0.6970814132104455,2021-02-11 22:05:48.961172,2021-02-11 22:06:03.116304,0 days 00:00:14.155132,0.00011042029759961603,0.9938833038585955,1.7824319183179383e-06,0.6970814132104455,,,,PRUNED
19,19,0.6949308755760368,2021-02-11 22:06:03.116485,2021-02-11 22:06:17.267932,0 days 00:00:14.151447,0.0022200102164646306,0.9901656728211475,5.672483189469486e-05,0.6949308755760368,,,,PRUNED
20,20,0.6955453149001536,2021-02-11 22:06:17.268123,2021-02-11 22:06:52.523558,0 days 00:00:35.255435,0.00015937024809245732,0.995787851276344,5.0457276212526945e-06,0.7001536098310291,0.6955453149001536,,,PRUNED
21,21,0.6900153609831029,2021-02-11 22:06:52.523748,2021-02-11 22:07:27.871075,0 days 00:00:35.347327,0.0006670325916910557,0.9905483754380089,2.7077203606975713e-05,0.6900153609831029,,,,PRUNED
22,22,0.6626728110599078,2021-02-11 22:07:27.871233,2021-02-11 22:12:44.620179,0 days 00:05:16.748946,2.7717893805457275e-05,0.9973368969782617,1.4103395854597598e-05,0.7038402457757297,0.7026113671274962,0.7121351766513057,0.6602150537634408,COMPLETE
23,23,0.6992319508448541,2021-02-11 22:12:44.620848,2021-02-11 22:12:58.903922,0 days 00:00:14.283074,3.124629874077427e-05,0.9939232814961294,1.023233445568492e-06,0.6992319508448541,,,,PRUNED
24,24,0.5576036866359447,2021-02-11 22:12:58.904101,2021-02-11 22:17:46.415549,0 days 00:04:47.511448,0.005507484256730019,0.9928326273769662,5.621030490008288e-05,0.5576036866359447,,,,PRUNED
25,25,0.687557603686636,2021-02-11 22:17:46.415709,2021-02-11 22:18:21.615146,0 days 00:00:35.199437,3.481984136845371e-05,0.9978126968517113,5.0346375789907346e-05,0.687557603686636,,,,PRUNED
26,26,0.6992319508448541,2021-02-11 22:18:21.615354,2021-02-11 22:18:56.862264,0 days 00:00:35.246910,0.00025467515522525566,0.9903764803391163,1.0800314381073163e-06,0.6992319508448541,,,,PRUNED
27,27,0.6915514592933948,2021-02-11 22:18:56.862460,2021-02-11 22:19:32.124251,0 days 00:00:35.261791,0.011662462192166058,0.9909041501868429,1.5694331564988164e-06,0.6915514592933948,,,,PRUNED
28,28,0.6930875576036867,2021-02-11 22:19:32.124440,2021-02-11 22:20:07.365444,0 days 00:00:35.241004,1.0662692217182075e-05,0.997108718607962,1.4869467722673483e-05,0.706605222734255,0.6930875576036867,,,PRUNED
29,29,0.6986175115207374,2021-02-11 22:20:07.365605,2021-02-11 22:20:42.641100,0 days 00:00:35.275495,6.436769897259882e-05,0.9955093059914474,3.508761398194162e-06,0.7050691244239631,0.6986175115207374,,,PRUNED
