,number,value,datetime_start,datetime_complete,duration,params_lr,params_out_dim,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.4792626728110599,2021-02-13 22:54:21.662223,2021-02-13 22:59:21.768042,0 days 00:05:00.105819,0.0015890455724664237,15,6.808015289332629e-07,0.48294930875576036,0.43533026113671275,0.5032258064516129,COMPLETE
1,1,0.5064516129032258,2021-02-13 22:59:21.768602,2021-02-13 23:04:21.528468,0 days 00:04:59.759866,0.011029129175340055,20,1.2565822799034807e-07,0.49554531490015363,0.4109062980030722,,COMPLETE
2,2,0.5505376344086022,2021-02-13 23:04:21.529026,2021-02-13 23:09:18.345446,0 days 00:04:56.816420,0.0005783677780616816,30,0.00010921314123118593,0.5321044546850998,0.4783410138248848,,COMPLETE
3,3,0.5047619047619047,2021-02-13 23:09:18.345991,2021-02-13 23:14:18.138046,0 days 00:04:59.792055,0.010878098719194318,25,1.4563171755242945e-05,0.5,0.5043010752688172,0.5268817204301075,COMPLETE
4,4,0.5763440860215053,2021-02-13 23:14:18.139133,2021-02-13 23:19:18.251746,0 days 00:05:00.112613,0.00193168119309524,45,1.2931486169375622e-05,0.5772657450076805,0.5235023041474655,,COMPLETE
5,5,0.5296466973886329,2021-02-13 23:19:18.253109,2021-02-13 23:24:17.318882,0 days 00:04:59.065773,0.0027146181284522786,30,0.00042995857807916367,0.5278033794162826,,,COMPLETE
6,6,0.554531490015361,2021-02-13 23:24:17.319753,2021-02-13 23:29:16.133883,0 days 00:04:58.814130,0.0009431764633706118,10,2.4921226811860136e-07,0.5459293394777266,0.5185867895545315,0.549615975422427,COMPLETE
7,7,0.47772657450076805,2021-02-13 23:29:16.134848,2021-02-13 23:34:10.767484,0 days 00:04:54.632636,0.0034655032628090952,45,9.358210968871912e-06,0.530568356374808,,,COMPLETE
8,8,0.5757296466973887,2021-02-13 23:34:10.768040,2021-02-13 23:39:13.021548,0 days 00:05:02.253508,2.2279134164039746e-05,35,1.614972971115454e-05,0.5923195084485408,0.5695852534562212,,COMPLETE
9,9,0.5155145929339477,2021-02-13 23:39:13.022105,2021-02-13 23:39:50.661367,0 days 00:00:37.639262,7.125372254976171e-05,20,2.628572234246254e-05,0.5155145929339477,,,PRUNED
10,10,0.5428571428571428,2021-02-13 23:39:50.661539,2021-02-13 23:40:34.215264,0 days 00:00:43.553725,0.0039856347941075055,20,6.710591701649356e-07,0.5428571428571428,,,PRUNED
