,number,value,datetime_start,datetime_complete,duration,params_lr,params_out_dim,params_scheduler_gamma,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.7332730560578662,2021-02-16 11:41:22.715899,2021-02-16 11:48:02.816005,0 days 00:06:40.100106,1.6139694518771408e-05,100,0.9901246354508645,17.335086839104992,0.7061482820976492,0.720614828209765,,COMPLETE
1,1,0.7224231464737794,2021-02-16 11:48:02.816534,2021-02-16 11:51:59.834411,0 days 00:03:57.017877,3.702408618685207e-05,10,0.9973964322776315,5.014339592687426,0.7495479204339964,0.7359855334538878,,COMPLETE
2,2,0.7350813743218807,2021-02-16 11:51:59.834981,2021-02-16 11:53:03.450730,0 days 00:01:03.615749,1.086336092976785e-05,80,0.9985261687199011,14.62631474002778,0.7350813743218807,,,PRUNED
3,3,0.6754068716094033,2021-02-16 11:53:03.450972,2021-02-16 11:56:59.725375,0 days 00:03:56.274403,0.0016389641040941143,100,0.9974643075497065,16.409008522358587,0.7269439421338155,0.7260397830018083,0.6826401446654611,COMPLETE
4,4,0.7142857142857143,2021-02-16 11:56:59.725898,2021-02-16 11:58:03.944039,0 days 00:01:04.218141,0.0017383496034917884,60,0.9970583460419352,0.2530342415008046,0.7142857142857143,,,PRUNED
5,5,0.6609403254972875,2021-02-16 11:58:03.944210,2021-02-16 12:02:01.045472,0 days 00:03:57.101262,0.0027822904132426096,80,0.990987323705593,3.7365597268678985,0.7296564195298373,0.7296564195298373,0.6989150090415913,COMPLETE
6,6,0.72875226039783,2021-02-16 12:02:01.046028,2021-02-16 12:03:04.586640,0 days 00:01:03.540612,1.720422995079121e-05,60,0.9928726585205617,17.213253855947347,0.7332730560578662,0.72875226039783,,PRUNED
7,7,0.7215189873417721,2021-02-16 12:03:04.586810,2021-02-16 12:03:40.015507,0 days 00:00:35.428697,2.8188351353470127e-05,90,0.99246692261224,13.534449055867784,0.7215189873417721,,,PRUNED
8,8,0.7215189873417721,2021-02-16 12:03:40.015683,2021-02-16 12:04:39.730968,0 days 00:00:59.715285,3.990423128247802e-05,100,0.9944996724795401,19.949745907495167,0.7350813743218807,0.7215189873417721,,PRUNED
9,9,0.7296564195298373,2021-02-16 12:04:39.731187,2021-02-16 12:05:16.713659,0 days 00:00:36.982472,0.00025066620822873555,90,0.9959661694932034,10.59105572749469,0.7296564195298373,,,PRUNED
10,10,0.6844484629294756,2021-02-16 12:05:16.713845,2021-02-16 12:06:18.138495,0 days 00:01:01.424650,0.003142183700806451,70,0.9914992240585335,11.473273078440586,0.7332730560578662,0.6844484629294756,,PRUNED
11,11,0.6754068716094033,2021-02-16 12:06:18.138683,2021-02-16 12:07:20.496265,0 days 00:01:02.357582,0.005765843144054033,30,0.9987155432029666,16.39732563099179,0.6754068716094033,,,PRUNED
12,12,0.6907775768535263,2021-02-16 12:07:20.496442,2021-02-16 12:11:19.725158,0 days 00:03:59.228716,0.008749777964100524,50,0.9910334639516869,2.1709153398921983,0.6826401446654611,,,COMPLETE
13,13,0.6763110307414105,2021-02-16 12:11:19.725679,2021-02-16 12:13:44.655560,0 days 00:02:24.929881,0.0037976316006968717,90,0.9970772614654017,7.058756083811347,0.6763110307414105,,,PRUNED
14,14,0.7115732368896925,2021-02-16 12:13:44.655740,2021-02-16 12:17:40.482905,0 days 00:03:55.827165,1.031715574202048e-05,40,0.9965404827430021,16.43172033233699,0.7278481012658228,,,COMPLETE
15,15,0.6790235081374322,2021-02-16 12:17:40.483421,2021-02-16 12:20:05.620334,0 days 00:02:25.136913,0.0071455771526616136,20,0.9934683209648476,12.450499624117297,0.6790235081374322,,,PRUNED
16,16,0.674502712477396,2021-02-16 12:20:05.620524,2021-02-16 12:22:29.704051,0 days 00:02:24.083527,0.0021642307795002964,100,0.9960461430153367,10.786530071716918,0.7341772151898734,0.72875226039783,0.674502712477396,PRUNED
17,17,0.7296564195298373,2021-02-16 12:22:29.704222,2021-02-16 12:23:03.830855,0 days 00:00:34.126633,0.004797390945800217,50,0.9958614235965648,0.21954379120136916,0.7296564195298373,,,PRUNED
18,18,0.7151898734177216,2021-02-16 12:23:03.831035,2021-02-16 12:25:27.060710,0 days 00:02:23.229675,5.9409672214304985e-05,10,0.9939777752836493,11.777484442726822,0.7151898734177216,,,PRUNED
19,19,0.7332730560578662,2021-02-16 12:25:27.060880,2021-02-16 12:26:27.102575,0 days 00:01:00.041695,0.00031885875483849324,90,0.9952731890375641,11.315132262777428,0.7332730560578662,,,PRUNED
20,20,0.6853526220614828,2021-02-16 12:26:27.102759,2021-02-16 12:27:29.604104,0 days 00:01:02.501345,0.004019147830190296,10,0.9908560761138577,7.775441201019845,0.6853526220614828,,,PRUNED
21,21,0.7305605786618445,2021-02-16 12:27:29.604284,2021-02-16 12:31:26.277789,0 days 00:03:56.673505,0.0002265831181959548,20,0.9954536224755931,19.146492015508336,0.7359855334538878,0.7332730560578662,0.7341772151898734,COMPLETE
22,22,0.72875226039783,2021-02-16 12:31:26.278339,2021-02-16 12:32:02.450899,0 days 00:00:36.172560,0.00019669389304606292,10,0.998713320358751,4.9145526162041255,0.72875226039783,,,PRUNED
23,23,0.6790235081374322,2021-02-16 12:32:02.451089,2021-02-16 12:34:26.356604,0 days 00:02:23.905515,0.0007525672258869759,20,0.9988124251738913,19.91134439560567,0.7350813743218807,0.7332730560578662,0.6790235081374322,PRUNED
24,24,0.6618444846292948,2021-02-16 12:34:26.356829,2021-02-16 12:34:58.597622,0 days 00:00:32.240793,0.011827529990455546,30,0.9974443479138623,16.225246729265606,0.6618444846292948,,,PRUNED
25,25,0.7251356238698011,2021-02-16 12:34:58.597847,2021-02-16 12:38:55.485849,0 days 00:03:56.888002,0.00010056069306232579,40,0.9972169216074867,15.893745485966019,0.7386980108499096,0.7341772151898734,0.7332730560578662,COMPLETE
26,26,0.7224231464737794,2021-02-16 12:38:55.486403,2021-02-16 12:39:55.876525,0 days 00:01:00.390122,4.678577056800656e-05,90,0.9939808396875777,5.533081326844719,0.7224231464737794,,,PRUNED
