,number,value,datetime_start,datetime_complete,duration,params_lr,params_weight_decay,state
0,0,,2021-02-10 22:15:00.196564,2021-02-10 22:15:02.510426,0 days 00:00:02.313862,0.0002152612078950112,1.9719636272994862e-05,FAIL
1,1,0.4359447004608295,2021-02-10 22:15:02.511146,2021-02-10 22:15:06.846841,0 days 00:00:04.335695,9.42506059333194e-05,1.570096351019312e-06,COMPLETE
2,2,0.6021505376344086,2021-02-10 22:15:06.847163,2021-02-10 22:15:11.119038,0 days 00:00:04.271875,0.0013133212176189885,0.0004564117684936313,COMPLETE
3,3,0.5133640552995392,2021-02-10 22:15:11.119363,2021-02-10 22:15:17.538952,0 days 00:00:06.419589,9.5443468186491e-05,0.0006494169803593219,COMPLETE
4,4,0.5834101382488479,2021-02-10 22:15:17.539260,2021-02-10 22:15:23.993626,0 days 00:00:06.454366,3.004620112311708e-05,0.0001657379998520401,COMPLETE
5,5,0.39938556067588327,2021-02-10 22:15:23.993937,2021-02-10 22:15:30.458757,0 days 00:00:06.464820,0.0002446798000563517,0.000996264706545181,COMPLETE
6,6,0.5665130568356375,2021-02-10 22:15:30.459075,2021-02-10 22:15:36.892186,0 days 00:00:06.433111,4.418599344769406e-05,8.867317352267958e-05,COMPLETE
7,7,0.4728110599078341,2021-02-10 22:15:36.892503,2021-02-10 22:15:41.164392,0 days 00:00:04.271889,0.0007227568647438063,0.0007173648365196432,COMPLETE
8,8,0.41013824884792627,2021-02-10 22:15:41.164715,2021-02-10 22:15:45.501398,0 days 00:00:04.336683,0.00011674274293505149,0.0006098860497220538,COMPLETE
9,9,0.41044546850998465,2021-02-10 22:15:45.501804,2021-02-10 22:15:49.824126,0 days 00:00:04.322322,0.00439953533595186,0.0007566946495663036,COMPLETE
10,10,0.44577572964669737,2021-02-10 22:15:49.824438,2021-02-10 22:16:00.392175,0 days 00:00:10.567737,0.00013359817817046638,4.420446575954282e-06,COMPLETE
11,11,0.4976958525345622,2021-02-10 22:16:00.392501,2021-02-10 22:16:17.363778,0 days 00:00:16.971277,0.004296220356242847,1.3071553672807333e-05,COMPLETE
12,12,0.5910906298003072,2021-02-10 22:16:17.364108,2021-02-10 22:16:21.750768,0 days 00:00:04.386660,1.0288631571432487e-05,0.00010933715230963077,COMPLETE
13,13,0.6043010752688172,2021-02-10 22:16:21.751094,2021-02-10 22:16:25.992800,0 days 00:00:04.241706,0.001142665753654831,0.0001247652991399336,COMPLETE
14,14,0.41996927803379414,2021-02-10 22:16:25.993122,2021-02-10 22:16:30.309022,0 days 00:00:04.315900,0.001265639852910453,3.4710630062892116e-05,COMPLETE
15,15,0.5683563748079877,2021-02-10 22:16:30.309356,2021-02-10 22:16:36.719120,0 days 00:00:06.409764,0.0009705850711811573,0.00023755441309069428,COMPLETE
16,16,0.423963133640553,2021-02-10 22:16:36.719443,2021-02-10 22:16:41.028798,0 days 00:00:04.309355,0.0024388743306275173,4.1880030796656606e-05,COMPLETE
17,17,,2021-02-10 22:16:41.029118,2021-02-10 22:16:42.665482,0 days 00:00:01.636364,0.00039322521437015734,0.00025182197343146705,FAIL
18,18,0.45683563748079875,2021-02-10 22:16:42.665785,2021-02-10 22:17:03.893748,0 days 00:00:21.227963,0.0004644429540180481,0.00027037016251619205,COMPLETE
