,number,value,datetime_start,datetime_complete,duration,params_lr,params_out_dim,params_scheduler_gamma,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.3896925858951175,2021-02-15 17:17:33.263491,2021-02-15 17:21:24.654697,0 days 00:03:51.391206,0.0005173642703774773,100,0.9945974605400919,2.2729979938097067,0.5949367088607594,,,COMPLETE
1,1,0.47377938517179025,2021-02-15 17:21:24.655261,2021-02-15 17:25:14.088655,0 days 00:03:49.433394,5.3274152659516876e-05,70,0.9965718421501173,10.76121049521807,0.5370705244122965,0.5009041591320073,0.4267631103074141,COMPLETE
2,2,0.45298372513562385,2021-02-15 17:25:14.089209,2021-02-15 17:26:03.480170,0 days 00:00:49.390961,0.000455862252311626,80,0.998560661076189,5.513709820111827,0.5714285714285714,0.45298372513562385,,PRUNED
3,3,0.38517179023508136,2021-02-15 17:26:03.480356,2021-02-15 17:26:31.342961,0 days 00:00:27.862605,0.0004785972353173119,40,0.9966146611601839,9.481154839454815,0.38517179023508136,,,PRUNED
4,4,0.5578661844484629,2021-02-15 17:26:31.343138,2021-02-15 17:26:59.222516,0 days 00:00:27.879378,2.4899273115219026e-05,80,0.9945330637622894,19.985670174375837,0.5578661844484629,,,PRUNED
5,5,0.5,2021-02-15 17:26:59.222724,2021-02-15 17:27:27.261106,0 days 00:00:28.038382,0.012028516969421262,40,0.9929966844907547,12.566362551779415,0.5,,,PRUNED
6,6,0.5054249547920434,2021-02-15 17:27:27.261277,2021-02-15 17:27:55.449687,0 days 00:00:28.188410,0.002221111556408559,40,0.9955003798887262,10.430865110613517,0.5054249547920434,,,PRUNED
7,7,0.352622061482821,2021-02-15 17:27:55.449857,2021-02-15 17:31:44.034201,0 days 00:03:48.584344,0.000664871949748682,30,0.9974590966103639,10.01067018543841,0.5831826401446655,0.5289330922242315,0.4407775768535262,COMPLETE
8,8,0.4484629294755877,2021-02-15 17:31:44.034777,2021-02-15 17:32:12.021844,0 days 00:00:27.987067,0.00020256549826374811,10,0.9924415130529776,12.312062565729713,0.4484629294755877,,,PRUNED
9,9,0.5750452079566004,2021-02-15 17:32:12.022023,2021-02-15 17:36:01.500197,0 days 00:03:49.478174,0.00024758481825729956,90,0.9900993578787494,9.645529510478706,0.43309222423146476,0.5334538878842676,,COMPLETE
10,10,0.5,2021-02-15 17:36:01.500846,2021-02-15 17:37:55.419704,0 days 00:01:53.918858,0.010766795755411734,80,0.9973935223425247,15.909768154892753,0.5,,,PRUNED
11,11,0.4593128390596745,2021-02-15 17:37:55.419856,2021-02-15 17:41:44.469170,0 days 00:03:49.049314,3.3132051966397494e-05,60,0.996815565410383,12.459884625966044,0.6555153707052441,0.5605786618444847,0.5858951175406871,COMPLETE
12,12,0.3336347197106691,2021-02-15 17:41:44.469727,2021-02-15 17:42:33.803184,0 days 00:00:49.333457,9.067144361430623e-05,50,0.9906020222010532,6.726387562499726,0.3336347197106691,,,PRUNED
13,13,0.527124773960217,2021-02-15 17:42:33.803384,2021-02-15 17:43:01.678666,0 days 00:00:27.875282,0.0005407544738449133,100,0.9946011752982143,9.299041032833825,0.527124773960217,,,PRUNED
