,number,value,datetime_start,datetime_complete,duration,params_lr,params_nl2,params_num_ct,params_scheduler_gamma,params_sigma2,params_weight_decay,state
0,0,0.5517665130568357,2021-02-08 21:04:50.843528,2021-02-08 21:05:02.859589,0 days 00:00:12.016061,0.05722356413801791,17,4,0.938131527312328,18,0.13379538389815523,COMPLETE
1,1,0.5898617511520737,2021-02-08 21:05:02.860032,2021-02-08 21:05:13.420667,0 days 00:00:10.560635,2.660123353420882e-05,13,2,0.949639069024699,10,0.2578809190856998,COMPLETE
2,2,,2021-02-08 21:05:13.421098,2021-02-08 21:05:15.756428,0 days 00:00:02.335330,0.00031284404465566746,7,6,0.9398958688725442,20,0.15415263342374444,FAIL
3,3,0.5723502304147465,2021-02-08 21:05:15.757192,2021-02-08 21:05:27.842311,0 days 00:00:12.085119,0.0009849322328016254,11,10,0.9435606047818637,12,0.012039556958311002,COMPLETE
4,4,0.5695852534562212,2021-02-08 21:05:27.842751,2021-02-08 21:05:43.322032,0 days 00:00:15.479281,0.08497717409252747,13,4,0.9716268692012671,12,0.01511311578222802,COMPLETE
5,5,0.6113671274961597,2021-02-08 21:05:43.322721,2021-02-08 21:06:18.594749,0 days 00:00:35.272028,0.00010952769256567024,19,2,0.981483093407713,12,0.03719588093860263,COMPLETE
6,6,0.5576036866359447,2021-02-08 21:06:18.595185,2021-02-08 21:06:44.428551,0 days 00:00:25.833366,0.00022173678269147502,5,4,0.9268391289883575,14,0.20124842926813624,COMPLETE
7,7,0.6147465437788019,2021-02-08 21:06:44.428992,2021-02-08 21:07:16.117317,0 days 00:00:31.688325,0.00037950555037015644,15,8,0.9051878298315162,10,0.12565721596941573,COMPLETE
8,8,0.4288786482334869,2021-02-08 21:07:16.117749,2021-02-08 21:08:14.445560,0 days 00:00:58.327811,0.0003127459714174935,5,8,0.9647959634629605,18,0.049030929877516914,COMPLETE
9,9,0.6168970814132104,2021-02-08 21:08:14.445958,2021-02-08 21:08:25.401698,0 days 00:00:10.955740,0.02559027333968715,7,6,0.950799088146588,16,0.01314100870979516,COMPLETE
10,10,0.6184331797235023,2021-02-08 21:08:25.402126,2021-02-08 21:08:36.167148,0 days 00:00:10.765022,0.0005326827033079527,7,4,0.9658138580910972,14,0.13062697418262345,COMPLETE
11,11,,2021-02-08 21:08:36.167606,2021-02-08 21:08:36.839812,0 days 00:00:00.672206,0.006033698747811823,9,0,0.9857154986032473,20,0.49217766749876785,FAIL
12,12,,2021-02-08 21:08:36.845406,2021-02-08 21:08:37.483205,0 days 00:00:00.637799,0.006056288226042041,9,0,0.985940076010721,20,0.36282742812566054,FAIL
13,13,,2021-02-08 21:08:37.483732,2021-02-08 21:08:38.234216,0 days 00:00:00.750484,0.004435456669286715,9,0,0.9855446384668981,20,0.46029629141614214,FAIL
14,14,,2021-02-08 21:08:38.234768,2021-02-08 21:08:38.879816,0 days 00:00:00.645048,0.010938504606141361,9,0,0.9850941433357119,20,0.3770775710976729,FAIL
15,15,,2021-02-08 21:08:38.880199,2021-02-08 21:08:39.519197,0 days 00:00:00.638998,0.009577729632828769,9,0,0.9825367046854342,20,0.41025919818867185,FAIL
16,16,,2021-02-08 21:08:39.519564,2021-02-08 21:08:40.158756,0 days 00:00:00.639192,0.0042125064226366865,9,0,0.9885488186833484,20,0.48180290687507504,FAIL
17,17,,2021-02-08 21:08:40.159121,2021-02-08 21:08:40.802301,0 days 00:00:00.643180,0.007096852186051869,9,0,0.9872511753031441,20,0.46528896493810445,FAIL
18,18,,2021-02-08 21:08:40.802681,2021-02-08 21:08:41.442292,0 days 00:00:00.639611,0.0075912240237166395,9,0,0.9854990497159678,20,0.4638101137943168,FAIL
19,19,,2021-02-08 21:08:41.442699,2021-02-08 21:08:42.069410,0 days 00:00:00.626711,0.007642555183795297,9,0,0.9852226818226519,20,0.4632041968630405,FAIL
20,20,,2021-02-08 21:08:42.069957,2021-02-08 21:08:42.729783,0 days 00:00:00.659826,0.006455325328572919,9,0,0.9898482293446286,20,0.37446193863071037,FAIL
21,21,,2021-02-08 21:08:42.730186,2021-02-08 21:08:43.486953,0 days 00:00:00.756767,0.0053816225812530144,9,0,0.9897020238647581,20,0.07679917116231155,FAIL
22,22,,2021-02-08 21:08:43.487508,2021-02-08 21:08:44.180607,0 days 00:00:00.693099,0.0036962432496637906,9,0,0.9851374086363642,20,0.4413860585880146,FAIL
23,23,,2021-02-08 21:08:44.180984,2021-02-08 21:08:44.806898,0 days 00:00:00.625914,0.0075567584952476044,9,0,0.9847930764901248,20,0.3680565546966871,FAIL
24,24,,2021-02-08 21:08:44.807266,2021-02-08 21:08:45.429247,0 days 00:00:00.621981,0.00569957912252078,9,0,0.9861290467927171,20,0.48400485214160494,FAIL
25,25,,2021-02-08 21:08:45.429788,2021-02-08 21:08:46.103223,0 days 00:00:00.673435,0.006995338577876036,9,0,0.9857709150691163,20,0.4044013827714867,FAIL
26,26,,2021-02-08 21:08:46.103760,2021-02-08 21:08:46.754360,0 days 00:00:00.650600,0.007472546737327613,9,0,0.9899803778756413,20,0.07775022374458698,FAIL
27,27,,2021-02-08 21:08:46.754916,2021-02-08 21:08:47.412665,0 days 00:00:00.657749,0.0023791336155275836,9,0,0.9888176165280995,20,0.49530238997455234,FAIL
28,28,,2021-02-08 21:08:47.413031,2021-02-08 21:08:48.038711,0 days 00:00:00.625680,0.006817522723276045,9,0,0.9880532251467071,16,0.4575894544082438,FAIL
29,29,,2021-02-08 21:08:48.039250,2021-02-08 21:08:48.792890,0 days 00:00:00.753640,0.009589685748021656,9,0,0.9889108071406115,20,0.09155983082618263,FAIL
30,30,,2021-02-08 21:08:48.793268,2021-02-08 21:08:49.432554,0 days 00:00:00.639286,0.003174458242888272,9,0,0.9892026168955126,20,0.44847198263927873,FAIL
31,31,,2021-02-08 21:08:49.432933,2021-02-08 21:08:50.072910,0 days 00:00:00.639977,0.006016443128843016,9,0,0.988663265720043,20,0.4309759854118089,FAIL
32,32,,2021-02-08 21:08:50.073428,2021-02-08 21:08:50.733390,0 days 00:00:00.659962,0.006959029629455047,9,0,0.9881284298105278,20,0.46836709236432905,FAIL
33,33,,2021-02-08 21:08:50.733781,2021-02-08 21:08:51.372956,0 days 00:00:00.639175,0.009160662933511017,9,0,0.9899405867362858,20,0.43501194702972357,FAIL
34,34,,2021-02-08 21:08:51.373334,2021-02-08 21:08:51.998976,0 days 00:00:00.625642,0.008461253661514654,9,0,0.9872121711446575,20,0.390523738390731,FAIL
35,35,,2021-02-08 21:08:51.999528,2021-02-08 21:08:52.638154,0 days 00:00:00.638626,0.005014709493575977,9,0,0.989004635896642,20,0.45376192639506696,FAIL
36,36,,2021-02-08 21:08:52.638703,2021-02-08 21:08:53.260862,0 days 00:00:00.622159,0.010400419512785173,9,0,0.9876228734357583,20,0.4259733170701941,FAIL
37,37,,2021-02-08 21:08:53.261252,2021-02-08 21:08:54.018266,0 days 00:00:00.757014,0.00604892440555687,9,0,0.9815275046138384,20,0.07811439010313666,FAIL
38,38,,2021-02-08 21:08:54.018663,2021-02-08 21:08:54.649778,0 days 00:00:00.631115,0.006444479880125265,9,0,0.9899169199125841,20,0.07095195012821247,FAIL
39,39,,2021-02-08 21:08:54.650151,2021-02-08 21:08:55.287045,0 days 00:00:00.636894,0.007233964114466521,9,0,0.989931114929514,20,0.45607044578659356,FAIL
40,40,,2021-02-08 21:08:55.287416,2021-02-08 21:08:55.911190,0 days 00:00:00.623774,0.007109801521678209,9,0,0.9849453060476888,20,0.4391546153622857,FAIL
41,41,,2021-02-08 21:08:55.911567,2021-02-08 21:08:56.550980,0 days 00:00:00.639413,0.006096636417175086,9,0,0.9898276731269281,20,0.39834934887610896,FAIL
42,42,,2021-02-08 21:08:56.551529,2021-02-08 21:08:57.202757,0 days 00:00:00.651228,0.004676840353583828,9,0,0.989397098139186,20,0.4855749381094725,FAIL
43,43,,2021-02-08 21:08:57.203303,2021-02-08 21:08:57.866259,0 days 00:00:00.662956,0.002944258776028055,9,0,0.9856918764894113,20,0.3403188873640578,FAIL
44,44,,2021-02-08 21:08:57.866832,2021-02-08 21:08:58.518413,0 days 00:00:00.651581,0.006296601542252134,9,0,0.9852391299356652,20,0.3711114238733691,FAIL
45,45,,2021-02-08 21:08:58.518815,2021-02-08 21:08:59.294980,0 days 00:00:00.776165,0.008254670102959234,7,0,0.9807162187691034,20,0.381272127514107,FAIL
46,46,,2021-02-08 21:08:59.295364,2021-02-08 21:08:59.928909,0 days 00:00:00.633545,0.005345290193698954,9,0,0.9843866647971782,20,0.4428581913796628,FAIL
47,47,,2021-02-08 21:08:59.929471,2021-02-08 21:09:00.635148,0 days 00:00:00.705677,0.00598588297703588,9,0,0.9888395992488164,20,0.46951390776843,FAIL
48,48,,2021-02-08 21:09:00.635717,2021-02-08 21:09:01.325233,0 days 00:00:00.689516,0.006803310271787409,9,0,0.9881569861812519,20,0.47610704179865593,FAIL
49,49,,2021-02-08 21:09:01.325771,2021-02-08 21:09:01.969905,0 days 00:00:00.644134,0.007593340128272148,9,0,0.9880509641767441,20,0.08369621762052562,FAIL
50,50,,2021-02-08 21:09:01.970279,2021-02-08 21:09:02.598824,0 days 00:00:00.628545,0.008090909359243819,9,0,0.986897705360304,20,0.38484441769782657,FAIL
51,51,,2021-02-08 21:09:02.599206,2021-02-08 21:09:03.237862,0 days 00:00:00.638656,0.00850257912795699,9,0,0.9890062125280663,20,0.4415771574828946,FAIL
52,52,,2021-02-08 21:09:03.238434,2021-02-08 21:09:03.873136,0 days 00:00:00.634702,0.006119348556636057,9,0,0.9871600465176736,20,0.35897918408429363,FAIL
53,53,,2021-02-08 21:09:03.873698,2021-02-08 21:09:04.689125,0 days 00:00:00.815427,0.0040796690210308795,9,0,0.9896621829287175,20,0.3588491969690413,FAIL
54,54,,2021-02-08 21:09:04.689701,2021-02-08 21:09:05.349013,0 days 00:00:00.659312,0.007009738010636252,9,0,0.9868354078535038,20,0.4281862973838769,FAIL
55,55,,2021-02-08 21:09:05.349566,2021-02-08 21:09:06.016551,0 days 00:00:00.666985,0.007162358204490423,9,0,0.9147699535420142,20,0.33912902107295495,FAIL
56,56,,2021-02-08 21:09:06.016933,2021-02-08 21:09:06.650141,0 days 00:00:00.633208,0.0063660071594318374,9,0,0.986833725438287,20,0.35769050460272095,FAIL
57,57,,2021-02-08 21:09:06.650533,2021-02-08 21:09:07.266208,0 days 00:00:00.615675,0.005766851765029213,9,0,0.986859874463946,20,0.4332508391610587,FAIL
58,58,,2021-02-08 21:09:07.266592,2021-02-08 21:09:07.908552,0 days 00:00:00.641960,0.006518533840000608,9,0,0.9881848491722869,20,0.48383352014021236,FAIL
59,59,,2021-02-08 21:09:07.908937,2021-02-08 21:09:08.536419,0 days 00:00:00.627482,0.004170238231034671,9,0,0.9878495001108141,20,0.4592296862544901,FAIL
60,60,,2021-02-08 21:09:08.536799,2021-02-08 21:09:09.271716,0 days 00:00:00.734917,0.010681820897236247,9,0,0.9817752832899016,20,0.4804934001254552,FAIL
61,61,,2021-02-08 21:09:09.272108,2021-02-08 21:09:09.912896,0 days 00:00:00.640788,0.006390519371779085,9,0,0.989510382884744,20,0.4491712109194817,FAIL
62,62,,2021-02-08 21:09:09.913279,2021-02-08 21:09:10.555344,0 days 00:00:00.642065,0.006784846564894159,9,0,0.9880025761624318,20,0.43494951886474126,FAIL
63,63,,2021-02-08 21:09:10.555718,2021-02-08 21:09:11.192049,0 days 00:00:00.636331,0.006777667099452333,9,0,0.9854056295169845,20,0.4963451242906141,FAIL
64,64,,2021-02-08 21:09:11.192428,2021-02-08 21:09:11.835495,0 days 00:00:00.643067,0.007639800410845117,9,0,0.9862089169013709,20,0.4978549731635726,FAIL
