,number,value,datetime_start,datetime_complete,duration,params_lr,params_scheduler_gamma,params_weight_decay,state
0,0,0.38740399385560675,2021-02-06 21:49:59.919598,2021-02-06 21:50:12.166621,0 days 00:00:12.247023,0.0008151569141606147,0.9831366027925673,0.011227070602636696,COMPLETE
1,1,0.4706605222734255,2021-02-06 21:50:12.167015,2021-02-06 21:50:33.256219,0 days 00:00:21.089204,0.007719158215538648,0.9105707074475127,0.042198462330113894,COMPLETE
2,2,0.5646697388632872,2021-02-06 21:50:33.256576,2021-02-06 21:50:49.392209,0 days 00:00:16.135633,0.0690902186992982,0.9527302386202222,0.014574218991340532,COMPLETE
3,3,0.5956989247311828,2021-02-06 21:50:49.392589,2021-02-06 21:51:00.160422,0 days 00:00:10.767833,0.029608234319925996,0.9702816281245982,0.1261082794979971,COMPLETE
4,4,0.5357910906298003,2021-02-06 21:51:00.160776,2021-02-06 21:51:15.645173,0 days 00:00:15.484397,0.09723049450475832,0.9541829457020975,0.017392726452466808,COMPLETE
5,5,0.47956989247311826,2021-02-06 21:51:15.645532,2021-02-06 21:51:31.264400,0 days 00:00:15.618868,0.01751553325657503,0.9016065491377413,0.09730482575416917,COMPLETE
6,6,0.5207373271889401,2021-02-06 21:51:31.264770,2021-02-06 21:51:41.944614,0 days 00:00:10.679844,0.037612078390438015,0.9393394826029269,0.01668662469003577,COMPLETE
7,7,0.4838709677419355,2021-02-06 21:51:41.944975,2021-02-06 21:51:52.612210,0 days 00:00:10.667235,0.00015230679796315345,0.9042063377418149,0.4897525752373221,COMPLETE
8,8,0.6261136712749616,2021-02-06 21:51:52.612571,2021-02-06 21:52:03.403288,0 days 00:00:10.790717,0.053244077306215304,0.9375161669379949,0.21472279705195424,COMPLETE
9,9,0.4359447004608295,2021-02-06 21:52:03.403659,2021-02-06 21:52:19.365112,0 days 00:00:15.961453,1.2295715363976487e-05,0.9298906947140562,0.0402498173747693,COMPLETE
10,10,0.5695852534562212,2021-02-06 21:52:19.365477,2021-02-06 21:52:30.052394,0 days 00:00:10.686917,0.0033443867881416682,0.9266028168122429,0.3497309877363259,COMPLETE
11,11,0.4599078341013825,2021-02-06 21:52:30.052757,2021-02-06 21:52:55.817829,0 days 00:00:25.765072,0.001823396560144461,0.9788468116051535,0.18325195697282878,COMPLETE
12,12,0.5523809523809524,2021-02-06 21:52:55.818193,2021-02-06 21:53:06.748560,0 days 00:00:10.930367,0.020642882902429868,0.9680964564000099,0.1787963839810448,COMPLETE
13,13,0.43655913978494626,2021-02-06 21:53:06.748932,2021-02-06 21:53:17.586518,0 days 00:00:10.837586,0.0003278296198843455,0.9644137190476785,0.18584873253446338,COMPLETE
14,14,0.5748079877112136,2021-02-06 21:53:17.586899,2021-02-06 21:53:33.625108,0 days 00:00:16.038209,0.08931513461888994,0.9230341649547164,0.09760802631796099,COMPLETE
15,15,0.5929339477726574,2021-02-06 21:53:33.625471,2021-02-06 21:53:54.582891,0 days 00:00:20.957420,0.007655437092073634,0.9413488257312677,0.30233758954310197,COMPLETE
16,16,0.4411674347158218,2021-02-06 21:53:54.583264,2021-02-06 21:54:30.068332,0 days 00:00:35.485068,3.7780009740673086e-05,0.9712234481879116,0.06171723069861875,COMPLETE
17,17,0.5726574500768049,2021-02-06 21:54:30.068703,2021-02-06 21:54:50.920463,0 days 00:00:20.851760,0.010022646871861267,0.954250631021398,0.12056749334873731,COMPLETE
18,18,0.5751152073732719,2021-02-06 21:54:50.920826,2021-02-06 21:55:01.965438,0 days 00:00:11.044612,0.03821506110973863,0.9337366205362895,0.275289763288201,COMPLETE
19,19,0.3831029185867896,2021-02-06 21:55:01.965810,2021-02-06 21:55:12.821479,0 days 00:00:10.855669,0.0035245773690993536,0.9187580093599025,0.06147223164012271,COMPLETE
20,20,0.5769585253456221,2021-02-06 21:55:12.821851,2021-02-06 21:55:23.464250,0 days 00:00:10.642399,0.04750430746396423,0.9622468364750458,0.48449125254016173,COMPLETE
21,21,0.6055299539170507,2021-02-06 21:55:23.464618,2021-02-06 21:55:34.278239,0 days 00:00:10.813621,0.0076914370228680015,0.9450826498090589,0.2760631324187663,COMPLETE
22,22,0.5963133640552996,2021-02-06 21:55:34.278624,2021-02-06 21:55:49.951569,0 days 00:00:15.672945,0.01707662815870561,0.9500220919059869,0.13876484045924206,COMPLETE
23,23,0.6036866359447005,2021-02-06 21:55:49.951945,2021-02-06 21:56:01.046721,0 days 00:00:11.094776,0.013217190343063543,0.9490683936116078,0.24260790697666407,COMPLETE
24,24,0.581874039938556,2021-02-06 21:56:01.047088,2021-02-06 21:56:11.924144,0 days 00:00:10.877056,0.004586628508451369,0.9468735585577548,0.2538556920373352,COMPLETE
25,25,0.576036866359447,2021-02-06 21:56:11.924516,2021-02-06 21:56:47.656160,0 days 00:00:35.731644,0.0012282483450361764,0.9375524644855691,0.39480792189835057,COMPLETE
26,26,0.6055299539170507,2021-02-06 21:56:47.656539,2021-02-06 21:57:08.364889,0 days 00:00:20.708350,0.012068927016868534,0.9453343231175952,0.22447069489568144,COMPLETE
27,27,0.5953917050691244,2021-02-06 21:57:08.365259,2021-02-06 21:57:23.840582,0 days 00:00:15.475323,0.0005425413421516189,0.9354011849105747,0.4278791975164574,COMPLETE
28,28,0.5274961597542243,2021-02-06 21:57:23.840956,2021-02-06 21:57:49.464463,0 days 00:00:25.623507,0.0019076096797199407,0.9173051924871432,0.197770499980583,COMPLETE
29,29,0.5929339477726574,2021-02-06 21:57:49.464835,2021-02-06 21:58:00.632991,0 days 00:00:11.168156,0.005631660151170964,0.9897642162994986,0.3439919459480126,COMPLETE
30,30,0.541321044546851,2021-02-06 21:58:00.633374,2021-02-06 21:58:11.511793,0 days 00:00:10.878419,0.059833097710590595,0.9589136377829016,0.08482210337591851,COMPLETE
31,31,0.5763440860215053,2021-02-06 21:58:11.512164,2021-02-06 21:58:22.364421,0 days 00:00:10.852257,0.012625155046593764,0.9440675663254234,0.23576680706306372,COMPLETE
32,32,0.5447004608294931,2021-02-06 21:58:22.364793,2021-02-06 21:58:38.014240,0 days 00:00:15.649447,0.023783067626318717,0.9451317737875368,0.22794439930907404,COMPLETE
33,33,0.5901689708141321,2021-02-06 21:58:38.014632,2021-02-06 21:58:49.070091,0 days 00:00:11.055459,0.007281162762685536,0.9308993022023732,0.1409951707969373,COMPLETE
34,34,0.570199692780338,2021-02-06 21:58:49.070466,2021-02-06 21:58:59.949009,0 days 00:00:10.878543,0.012771159119283162,0.9498321828498918,0.31679263941075947,COMPLETE
35,35,0.5935483870967742,2021-02-06 21:58:59.949388,2021-02-06 21:59:15.315480,0 days 00:00:15.366092,0.0024042720697117787,0.9554366508558265,0.16434320718911105,COMPLETE
36,36,0.5797235023041475,2021-02-06 21:59:15.315858,2021-02-06 21:59:26.418758,0 days 00:00:11.102900,0.07797979469255949,0.94115387792581,0.232594916791987,COMPLETE
37,37,0.5394777265745008,2021-02-06 21:59:26.419138,2021-02-06 21:59:37.621651,0 days 00:00:11.202513,0.029851279026336604,0.9480621741330171,0.03597474976876257,COMPLETE
38,38,0.49216589861751153,2021-02-06 21:59:37.622028,2021-02-06 21:59:48.640655,0 days 00:00:11.018627,0.0993087661475158,0.9585967378355698,0.1116007899364943,COMPLETE
39,39,0.5342549923195085,2021-02-06 21:59:48.641033,2021-02-06 21:59:59.520428,0 days 00:00:10.879395,0.012337586036766643,0.9358139906163524,0.4119238823086839,COMPLETE
40,40,0.4116743471582181,2021-02-06 21:59:59.520808,2021-02-06 22:00:15.870552,0 days 00:00:16.349744,0.0008399549486454292,0.9251286726415321,0.15854144999202538,COMPLETE
41,41,0.565284178187404,2021-02-06 22:00:15.870946,2021-02-06 22:00:31.729496,0 days 00:00:15.858550,0.018138812860363618,0.9530898269020956,0.21862453426148123,COMPLETE
42,42,0.5376344086021505,2021-02-06 22:00:31.729873,2021-02-06 22:00:42.821120,0 days 00:00:11.091247,0.04443081302145167,0.9436991092854131,0.14446477209197986,COMPLETE
43,43,0.6003072196620584,2021-02-06 22:00:42.821511,2021-02-06 22:01:04.109489,0 days 00:00:21.287978,0.019101451572630476,0.9504444773077622,0.27864393833400414,COMPLETE
44,44,0.5179723502304148,2021-02-06 22:01:04.109866,2021-02-06 22:01:14.909302,0 days 00:00:10.799436,0.02812276646905141,0.9396052385414404,0.30632944047023003,COMPLETE
45,45,0.556989247311828,2021-02-06 22:01:14.909683,2021-02-06 22:01:30.550718,0 days 00:00:15.641035,0.005330116799222075,0.9313393434556754,0.38001454920101774,COMPLETE
46,46,0.5161290322580645,2021-02-06 22:01:30.551102,2021-02-06 22:01:46.660175,0 days 00:00:16.109073,0.009174136457660105,0.9506838148375282,0.2804708306598203,COMPLETE
47,47,0.5966205837173579,2021-02-06 22:01:46.660558,2021-02-06 22:01:57.614484,0 days 00:00:10.953926,0.05744849584293851,0.9607786153728419,0.47967050446173076,COMPLETE
48,48,0.5001536098310292,2021-02-06 22:01:57.614879,2021-02-06 22:02:08.351183,0 days 00:00:10.736304,0.015462298349745506,0.9678096596633458,0.20648884376790416,COMPLETE
49,49,0.5493087557603686,2021-02-06 22:02:08.351578,2021-02-06 22:02:18.659904,0 days 00:00:10.308326,0.003234956787010771,0.956299026077997,0.010289541829534574,COMPLETE
50,50,0.6015360983102919,2021-02-06 22:02:18.660281,2021-02-06 22:02:34.928733,0 days 00:00:16.268452,0.029515902999681147,0.9428185194721276,0.030089545588843976,COMPLETE
51,51,0.578494623655914,2021-02-06 22:02:34.929123,2021-02-06 22:02:46.201918,0 days 00:00:11.272795,0.029451191316381447,0.9423065421907376,0.024369880794444982,COMPLETE
52,52,0.5692780337941629,2021-02-06 22:02:46.202295,2021-02-06 22:02:57.132891,0 days 00:00:10.930596,0.007437213038825857,0.9452382112916129,0.013213731961964278,COMPLETE
53,53,0.5087557603686635,2021-02-06 22:02:57.133276,2021-02-06 22:03:08.203852,0 days 00:00:11.070576,0.021102218118573213,0.9373302808409536,0.022108767771918534,COMPLETE
54,54,0.5560675883256528,2021-02-06 22:03:08.204245,2021-02-06 22:03:18.973552,0 days 00:00:10.769307,0.034589415758503786,0.9517974969677464,0.031588425831086106,COMPLETE
55,55,0.5662058371735791,2021-02-06 22:03:18.973937,2021-02-06 22:03:29.618980,0 days 00:00:10.645043,0.0586459827691201,0.947699426145425,0.049427933143287604,COMPLETE
56,56,0.56036866359447,2021-02-06 22:03:29.619367,2021-02-06 22:03:40.375501,0 days 00:00:10.756134,0.010486418004549943,0.9275961434920745,0.25434438544963694,COMPLETE
57,57,0.5529953917050692,2021-02-06 22:03:40.375896,2021-02-06 22:03:56.313329,0 days 00:00:15.937433,0.020919393526264807,0.9332477278564192,0.18831051842654228,COMPLETE
58,58,0.5766513056835637,2021-02-06 22:03:56.313721,2021-02-06 22:04:07.459639,0 days 00:00:11.145918,0.04011567916591496,0.9401247580753105,0.3484857963044273,COMPLETE
59,59,0.6089093701996928,2021-02-06 22:04:07.460026,2021-02-06 22:04:18.161188,0 days 00:00:10.701162,0.004219636154044244,0.9483750395300643,0.07543435442721312,COMPLETE
60,60,0.5870967741935483,2021-02-06 22:04:18.161568,2021-02-06 22:04:29.424421,0 days 00:00:11.262853,0.00411109820981233,0.9378057388384771,0.08120168134374432,COMPLETE
61,61,0.5806451612903226,2021-02-06 22:04:29.424809,2021-02-06 22:04:40.559030,0 days 00:00:11.134221,0.006904449692756209,0.9482841218704917,0.04815802030815814,COMPLETE
62,62,0.5861751152073733,2021-02-06 22:04:40.559413,2021-02-06 22:04:51.325960,0 days 00:00:10.766547,0.01705348713401878,0.9457914353462388,0.10965691280989487,COMPLETE
63,63,0.5757296466973887,2021-02-06 22:04:51.326520,2021-02-06 22:05:02.352855,0 days 00:00:11.026335,0.00974105869463276,0.954223406872808,0.26950965005557986,COMPLETE
64,64,0.423963133640553,2021-02-06 22:05:02.353247,2021-02-06 22:05:13.068914,0 days 00:00:10.715667,0.001446409177727622,0.9435468838640447,0.1728773604459568,COMPLETE
65,65,0.6036866359447005,2021-02-06 22:05:13.069306,2021-02-06 22:05:23.900897,0 days 00:00:10.831591,0.002301178945370067,0.9576198387458087,0.3095195717005388,COMPLETE
66,66,0.4774193548387097,2021-02-06 22:05:23.901297,2021-02-06 22:05:34.593926,0 days 00:00:10.692629,0.002600237369047932,0.9588978510859157,0.06880455531333123,COMPLETE
67,67,0.5874039938556067,2021-02-06 22:05:34.594313,2021-02-06 22:05:55.529528,0 days 00:00:20.935215,0.00560587307463145,0.9647032190248781,0.026559658936751933,COMPLETE
68,68,0.513978494623656,2021-02-06 22:05:55.529917,2021-02-06 22:06:06.618872,0 days 00:00:11.088955,0.0005949316889664168,0.978080474672229,0.3183234971513488,COMPLETE
69,69,0.5490015360983103,2021-02-06 22:06:06.619259,2021-02-06 22:06:17.567588,0 days 00:00:10.948329,0.003493811745593602,0.9561452561611873,0.4599550388530049,COMPLETE
70,70,0.38556067588325654,2021-02-06 22:06:17.567975,2021-02-06 22:06:43.276005,0 days 00:00:25.708030,0.001969857255753418,0.9333145568593201,0.12954783073389028,COMPLETE
71,71,0.5993855606758832,2021-02-06 22:06:43.276398,2021-02-06 22:06:59.198818,0 days 00:00:15.922420,0.014891890482860517,0.950126684801046,0.24867479499111922,COMPLETE
72,72,0.5963133640552996,2021-02-06 22:06:59.199212,2021-02-06 22:07:15.233467,0 days 00:00:16.034255,0.0027235827464192675,0.9521528855806072,0.2899042907641518,COMPLETE
73,73,0.5874039938556067,2021-02-06 22:07:15.233863,2021-02-06 22:07:30.991149,0 days 00:00:15.757286,0.004579680758753981,0.9419103367771662,0.2118148401070168,COMPLETE
74,74,0.56036866359447,2021-02-06 22:07:30.991537,2021-02-06 22:07:42.143071,0 days 00:00:11.151534,0.023631320792300795,0.947114231765981,0.3761956382464653,COMPLETE
75,75,0.5772657450076805,2021-02-06 22:07:42.143472,2021-02-06 22:07:52.709961,0 days 00:00:10.566489,0.0012486523479923704,0.9619999853940243,0.016562470125052877,COMPLETE
76,76,0.5213517665130568,2021-02-06 22:07:52.710362,2021-02-06 22:08:03.391470,0 days 00:00:10.681108,0.0121202299789138,0.949159976726182,0.19160343072775526,COMPLETE
77,77,0.5047619047619047,2021-02-06 22:08:03.391872,2021-02-06 22:08:14.041932,0 days 00:00:10.650060,0.006208921456371122,0.9402576208040844,0.33372820936366454,COMPLETE
78,78,0.5781874039938556,2021-02-06 22:08:14.042327,2021-02-06 22:08:30.281192,0 days 00:00:16.238865,0.008398137793410256,0.9356364778868649,0.2667317265417378,COMPLETE
79,79,0.4162826420890937,2021-02-06 22:08:30.281588,2021-02-06 22:08:41.104708,0 days 00:00:10.823120,1.4232610425849887e-05,0.9531057990040818,0.15722951873837895,COMPLETE
80,80,0.5877112135176651,2021-02-06 22:08:41.105108,2021-02-06 22:08:51.650269,0 days 00:00:10.545161,0.04633632688828672,0.957624711878793,0.42649345458980725,COMPLETE
81,81,0.48448540706605225,2021-02-06 22:08:51.650673,2021-02-06 22:09:07.645351,0 days 00:00:15.994678,0.014943330383086121,0.9493563083464509,0.22872980634315418,COMPLETE
82,82,0.6039938556067588,2021-02-06 22:09:07.645749,2021-02-06 22:09:29.372691,0 days 00:00:21.726942,0.013123026860809189,0.943797606862583,0.23270596638171667,COMPLETE
83,83,0.6076804915514593,2021-02-06 22:09:29.373083,2021-02-06 22:09:45.493736,0 days 00:00:16.120653,0.030986810214221387,0.9451470083312369,0.20184809908501003,COMPLETE
84,84,0.47096774193548385,2021-02-06 22:09:45.494138,2021-02-06 22:09:56.441456,0 days 00:00:10.947318,0.027850998598669307,0.9438226430053225,0.20776825328638282,COMPLETE
85,85,0.6003072196620584,2021-02-06 22:09:56.441860,2021-02-06 22:10:07.437124,0 days 00:00:10.995264,0.09995256694689841,0.938777257909856,0.17828511166039362,COMPLETE
86,86,0.5993855606758832,2021-02-06 22:10:07.437527,2021-02-06 22:10:18.372265,0 days 00:00:10.934738,0.07356131276056152,0.9459921497673187,0.29764717475368463,COMPLETE
87,87,0.6227342549923195,2021-02-06 22:10:18.372662,2021-02-06 22:10:34.084321,0 days 00:00:15.711659,0.034881087575377875,0.9417168231177407,0.15374728893763495,COMPLETE
88,88,0.6064516129032258,2021-02-06 22:10:34.084737,2021-02-06 22:10:49.980817,0 days 00:00:15.896080,0.011070223227521554,0.9367629728418402,0.24311715710591425,COMPLETE
89,89,0.565284178187404,2021-02-06 22:10:49.981221,2021-02-06 22:11:06.434358,0 days 00:00:16.453137,0.0106926398438588,0.928857681790246,0.15959113868859792,COMPLETE
90,90,0.5655913978494623,2021-02-06 22:11:06.434767,2021-02-06 22:11:22.314188,0 days 00:00:15.879421,0.03504185222784717,0.9365728228980013,0.14407119323763054,COMPLETE
91,91,0.5557603686635945,2021-02-06 22:11:22.314790,2021-02-06 22:11:33.232190,0 days 00:00:10.917400,0.004277568644711433,0.9407019902524857,0.22788788665609297,COMPLETE
92,92,0.5797235023041475,2021-02-06 22:11:33.232588,2021-02-06 22:11:44.396528,0 days 00:00:11.163940,0.008403218361103026,0.9458645268632734,0.24632279763824078,COMPLETE
93,93,0.584331797235023,2021-02-06 22:11:44.396940,2021-02-06 22:11:54.889856,0 days 00:00:10.492916,0.013339037665667951,0.9393139028680588,0.18992256751443265,COMPLETE
94,94,0.5738863287250384,2021-02-06 22:11:54.890258,2021-02-06 22:12:15.654123,0 days 00:00:20.763865,0.00536750816230604,0.934029602082215,0.2082306538928101,COMPLETE
95,95,0.6027649769585254,2021-02-06 22:12:15.654535,2021-02-06 22:12:31.643286,0 days 00:00:15.988751,0.023876426339596114,0.9232893017702047,0.25005937584134275,COMPLETE
96,96,0.5920122887864824,2021-02-06 22:12:31.643703,2021-02-06 22:12:42.708114,0 days 00:00:11.064411,0.051743852105973376,0.9309180403281145,0.16843690010461715,COMPLETE
97,97,0.5314900153609831,2021-02-06 22:12:42.708522,2021-02-06 22:12:53.671839,0 days 00:00:10.963317,0.0067656697280737135,0.9420894518016033,0.37884873501313066,COMPLETE
98,98,0.5963133640552996,2021-02-06 22:12:53.672250,2021-02-06 22:13:09.096616,0 days 00:00:15.424366,0.010392294034341866,0.9442469879760607,0.3271039058214034,COMPLETE
99,99,0.49953917050691243,2021-02-06 22:13:09.097020,2021-02-06 22:13:20.131235,0 days 00:00:11.034215,0.01831262627091094,0.9479077038199903,0.09303126372746692,COMPLETE
100,100,0.5686635944700461,2021-02-06 22:13:20.131641,2021-02-06 22:13:35.894207,0 days 00:00:15.762566,0.036883789190181766,0.9515834576377908,0.2982807999869284,COMPLETE
101,101,0.5852534562211982,2021-02-06 22:13:35.894623,2021-02-06 22:14:01.718915,0 days 00:00:25.824292,0.026614045722846327,0.9103728283487139,0.25966920354805445,COMPLETE
102,102,0.5929339477726574,2021-02-06 22:14:01.719323,2021-02-06 22:14:17.625603,0 days 00:00:15.906280,0.022023050952634984,0.9160716248441111,0.2260544004367115,COMPLETE
103,103,0.6021505376344086,2021-02-06 22:14:17.626013,2021-02-06 22:14:33.269583,0 days 00:00:15.643570,0.06873335816814681,0.924705056312547,0.23960200989015432,COMPLETE
104,104,0.5167434715821813,2021-02-06 22:14:33.269993,2021-02-06 22:14:48.672506,0 days 00:00:15.402513,0.013254421702414261,0.9211735525554345,0.19654301778538966,COMPLETE
105,105,0.57357910906298,2021-02-06 22:14:48.672914,2021-02-06 22:15:09.461242,0 days 00:00:20.788328,0.008202109204542849,0.9463990466802974,0.27261919068267115,COMPLETE
106,106,0.570199692780338,2021-02-06 22:15:09.461650,2021-02-06 22:15:25.187208,0 days 00:00:15.725558,0.017255960168200208,0.9011601214801596,0.21786175533609262,COMPLETE
