,number,value,datetime_start,datetime_complete,duration,params_lr,params_out_dim,params_scheduler_gamma,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.6963273354695588,2021-02-23 23:11:18.167987,2021-02-23 23:14:48.942350,0 days 00:03:30.774363,0.003382242653850974,90,0.9916007194371291,1.0175827855956008,0.6948484101552872,0.6992851860981021,0.7059403500123244,COMPLETE
1,1,0.7165393147646044,2021-02-23 23:14:48.942961,2021-02-23 23:18:18.023901,0 days 00:03:29.080940,0.0002738137297639856,30,0.9911086144805517,8.528969680275884,0.7015035740695095,0.7093911757456248,0.7079122504313532,COMPLETE
2,2,0.7049543998028099,2021-02-23 23:18:18.024482,2021-02-23 23:21:47.253882,0 days 00:03:29.229400,0.007891954513592212,10,0.9919076216612668,18.06667829140793,0.7049543998028099,0.7049543998028099,,COMPLETE
3,3,0.7049543998028099,2021-02-23 23:21:47.254460,2021-02-23 23:25:15.697254,0 days 00:03:28.442794,0.015777746188114977,80,0.9982843899808065,12.953583981757147,0.7049543998028099,,,COMPLETE
4,4,0.700517623859995,2021-02-23 23:25:15.697835,2021-02-23 23:26:37.972560,0 days 00:01:22.274725,1.568215206669224e-05,80,0.9913239827486372,17.87455154957996,0.7064333251170816,0.700517623859995,,PRUNED
5,5,0.7049543998028099,2021-02-23 23:26:37.972729,2021-02-23 23:27:08.517516,0 days 00:00:30.544787,0.0012833947851304502,80,0.996449422510661,19.686167811343456,0.7042149371456742,0.7049543998028099,,PRUNED
6,6,0.7049543998028099,2021-02-23 23:27:08.517729,2021-02-23 23:30:37.562254,0 days 00:03:29.044525,0.019964804409216316,60,0.9954681762846637,2.2825109861542487,0.7049543998028099,,,COMPLETE
7,7,0.7049543998028099,2021-02-23 23:30:37.562869,2021-02-23 23:34:06.382202,0 days 00:03:28.819333,0.006181594677544663,10,0.9915272409617983,12.159060511612795,0.7049543998028099,,,COMPLETE
8,8,0.6928765097362584,2021-02-23 23:34:06.382826,2021-02-23 23:35:28.335916,0 days 00:01:21.953090,1.4154556626525744e-05,40,0.9917987422145815,12.597826353831582,0.6928765097362584,,,PRUNED
9,9,0.7049543998028099,2021-02-23 23:35:28.336075,2021-02-23 23:35:58.856894,0 days 00:00:30.520819,0.0045763686759087915,90,0.9950003571859025,18.952792167278258,0.7049543998028099,0.7049543998028099,,PRUNED
10,10,0.7052008873551886,2021-02-23 23:35:58.857073,2021-02-23 23:36:29.334078,0 days 00:00:30.477005,0.0005755376220528364,80,0.9977497331802146,13.157653162819031,0.7052008873551886,,,PRUNED
11,11,0.7039684495932955,2021-02-23 23:36:29.334258,2021-02-23 23:36:42.771984,0 days 00:00:13.437726,0.0003438728696590816,70,0.9966260355852309,17.927627889072,0.7039684495932955,,,PRUNED
12,12,0.7034754744885383,2021-02-23 23:36:42.772147,2021-02-23 23:38:04.574466,0 days 00:01:21.802319,0.001149695105491596,50,0.9946135494493277,0.4886408944008728,0.7135814641360612,0.7034754744885383,,PRUNED
13,13,0.7049543998028099,2021-02-23 23:38:04.574681,2021-02-23 23:38:35.082761,0 days 00:00:30.508080,0.0023908220306142025,90,0.9932178726043158,8.812689547738692,0.7052008873551886,0.7049543998028099,,PRUNED
14,14,0.7047079122504314,2021-02-23 23:38:35.082945,2021-02-23 23:38:48.389360,0 days 00:00:13.306415,0.015424140975574638,100,0.9956211255985138,2.345200942061853,0.7047079122504314,,,PRUNED
15,15,0.6891791964505792,2021-02-23 23:38:48.389568,2021-02-23 23:42:18.092065,0 days 00:03:29.702497,0.00010493856433312545,30,0.9985999998410594,8.299372277696131,0.707419275326596,0.7113630761646537,0.724919891545477,COMPLETE
16,16,0.7054473749075671,2021-02-23 23:42:18.092654,2021-02-23 23:42:48.652266,0 days 00:00:30.559612,1.546833420678565e-05,90,0.9950262004174901,11.18012225226223,0.7064333251170816,0.7054473749075671,,PRUNED
17,17,0.7012570865171309,2021-02-23 23:42:48.652474,2021-02-23 23:43:02.130843,0 days 00:00:13.478369,0.01352914923528092,10,0.9970946316748095,1.797472184276223,0.7012570865171309,,,PRUNED
18,18,0.7047079122504314,2021-02-23 23:43:02.131014,2021-02-23 23:43:32.639890,0 days 00:00:30.508876,2.3542699003589442e-05,30,0.9910660670124889,15.046223596789723,0.7047079122504314,,,PRUNED
19,19,0.7071727877742174,2021-02-23 23:43:32.640074,2021-02-23 23:44:03.178166,0 days 00:00:30.538092,4.026915566336424e-05,40,0.9902449304261045,13.626655760212786,0.7069263002218388,0.7071727877742174,,PRUNED
20,20,0.7049543998028099,2021-02-23 23:44:03.178355,2021-02-23 23:47:31.953441,0 days 00:03:28.775086,0.005918248523236004,70,0.9978959014577735,11.065315775478997,0.7049543998028099,,,COMPLETE
21,21,0.7017500616218881,2021-02-23 23:47:31.954040,2021-02-23 23:48:02.518451,0 days 00:00:30.564411,2.442137610329623e-05,100,0.9939058539010648,5.813627439796867,0.7017500616218881,,,PRUNED
22,22,0.6987922109933449,2021-02-23 23:48:02.518650,2021-02-23 23:48:15.897890,0 days 00:00:13.379240,0.00025018132786783725,50,0.9908934080343453,5.799282953917601,0.6987922109933449,,,PRUNED
23,23,0.7049543998028099,2021-02-23 23:48:15.898075,2021-02-23 23:48:46.409956,0 days 00:00:30.511881,0.004025654914727905,100,0.9921939189091089,7.128658720587032,0.7049543998028099,,,PRUNED
24,24,0.6884397337934435,2021-02-23 23:48:46.410139,2021-02-23 23:50:08.719131,0 days 00:01:22.308992,0.0001227813706423696,80,0.9951035028399405,4.78069796313715,0.6884397337934435,,,PRUNED
25,25,0.7069263002218388,2021-02-23 23:50:08.719308,2021-02-23 23:51:30.890529,0 days 00:01:22.171221,0.000955183636559668,10,0.992242784315837,3.851558864075658,0.707419275326596,0.7088982006408676,0.7069263002218388,PRUNED
26,26,0.7086517130884891,2021-02-23 23:51:30.890732,2021-02-23 23:55:00.144277,0 days 00:03:29.253545,0.0027244840708257746,50,0.9937758738324101,11.896761298762529,0.7056938624599458,,,COMPLETE
27,27,0.7049543998028099,2021-02-23 23:55:00.144868,2021-02-23 23:55:13.563068,0 days 00:00:13.418200,0.004809831191568632,30,0.9917122187815054,14.568462548938495,0.7049543998028099,,,PRUNED
28,28,0.7042149371456742,2021-02-23 23:55:13.563263,2021-02-23 23:55:44.070715,0 days 00:00:30.507452,0.00011412256036044735,60,0.9934505092422048,0.5194342811659085,0.7103771259551392,0.7042149371456742,,PRUNED
29,29,0.6995316736504806,2021-02-23 23:55:44.070913,2021-02-23 23:57:06.201287,0 days 00:01:22.130374,0.00027466972302803123,50,0.9977240299874973,2.8417732006169993,0.7148139018979541,0.6995316736504806,,PRUNED
30,30,0.7079122504313532,2021-02-23 23:57:06.201485,2021-02-23 23:57:36.788697,0 days 00:00:30.587212,0.0007316072481323431,20,0.9901285213708693,5.919781690572604,0.7069263002218388,0.7079122504313532,,PRUNED
31,31,0.7153068770027113,2021-02-23 23:57:36.788889,2021-02-24 00:01:06.383620,0 days 00:03:29.594731,0.00010852599674045686,30,0.9923469103040661,1.6703158821233852,0.7148139018979541,0.7116095637170323,,COMPLETE
32,32,0.7076657628789746,2021-02-24 00:01:06.384302,2021-02-24 00:02:28.495287,0 days 00:01:22.110985,0.00015515533991481133,50,0.9914645306439327,11.57197151999395,0.7076657628789746,0.7091446881932463,0.7076657628789746,PRUNED
33,33,0.7034754744885383,2021-02-24 00:02:28.495475,2021-02-24 00:05:57.513686,0 days 00:03:29.018211,4.021120738969031e-05,30,0.9915523941058412,12.114464212471539,0.7069263002218388,,,COMPLETE
34,34,0.7052008873551886,2021-02-24 00:05:57.514290,2021-02-24 00:06:27.935352,0 days 00:00:30.421062,0.0007401074589044087,60,0.9978143972565616,7.980337383296737,0.7052008873551886,,,PRUNED
35,35,0.6982992358885877,2021-02-24 00:06:27.935569,2021-02-24 00:09:57.913994,0 days 00:03:29.978425,0.0001684209757815613,40,0.9938633679267054,12.825522950001497,0.7081587379837319,,,COMPLETE
36,36,0.7052008873551886,2021-02-24 00:09:57.914593,2021-02-24 00:11:19.991164,0 days 00:01:22.076571,0.0006357704276917061,40,0.9943749216686035,15.52157286942341,0.7052008873551886,,,PRUNED
37,37,0.7066798126694602,2021-02-24 00:11:19.991373,2021-02-24 00:11:33.420369,0 days 00:00:13.428996,3.7297631089379755e-05,60,0.9931516724522393,6.658758614484533,0.7066798126694602,,,PRUNED
38,38,0.7049543998028099,2021-02-24 00:11:33.420558,2021-02-24 00:11:46.812751,0 days 00:00:13.392193,0.006013094402634169,30,0.9900028193777021,15.446457225631928,0.7049543998028099,,,PRUNED
39,39,0.7034754744885383,2021-02-24 00:11:46.812948,2021-02-24 00:12:00.227995,0 days 00:00:13.415047,0.0019093417096499878,40,0.9924499958746688,0.06879830912310858,0.7034754744885383,,,PRUNED
40,40,0.6982992358885877,2021-02-24 00:12:00.228187,2021-02-24 00:12:13.544634,0 days 00:00:13.316447,0.000491906046872865,100,0.9939555880931744,4.236234624093512,0.6982992358885877,,,PRUNED
41,41,0.7113630761646537,2021-02-24 00:12:13.544863,2021-02-24 00:12:43.990056,0 days 00:00:30.445193,9.840534448608381e-05,10,0.9945387564414587,0.046756175381134524,0.7113630761646537,,,PRUNED
42,42,0.7049543998028099,2021-02-24 00:12:43.990276,2021-02-24 00:13:14.425041,0 days 00:00:30.434765,0.010543624291075677,10,0.9931237838885987,11.784074032399994,0.7049543998028099,,,PRUNED
43,43,0.7042149371456742,2021-02-24 00:13:14.425264,2021-02-24 00:14:36.538417,0 days 00:01:22.113153,7.063315080467163e-05,20,0.9977625579442074,9.494727339588232,0.7066798126694602,0.7106236135075179,0.7042149371456742,PRUNED
44,44,0.7056938624599458,2021-02-24 00:14:36.538594,2021-02-24 00:15:07.073236,0 days 00:00:30.534642,8.755918206260268e-05,30,0.9924996153057987,19.198404164079864,0.7056938624599458,,,PRUNED
45,45,0.7024895242790239,2021-02-24 00:15:07.073459,2021-02-24 00:15:20.475315,0 days 00:00:13.401856,0.00017291543028015322,30,0.9906982891989413,7.8030999223983875,0.7024895242790239,,,PRUNED
46,46,0.7049543998028099,2021-02-24 00:15:20.475514,2021-02-24 00:16:42.899147,0 days 00:01:22.423633,0.0012473973512607131,100,0.9969237106151094,19.61927066795434,0.7049543998028099,,,PRUNED
