,number,value,datetime_start,datetime_complete,duration,params_lr,params_out_dim,params_scheduler_gamma,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.7111165886122751,2021-02-24 13:49:18.689004,2021-02-24 13:52:48.271303,0 days 00:03:29.582299,3.149499286213421e-05,60,0.9951252412976017,10.023708491310968,0.6913975844219867,0.7017500616218881,,COMPLETE
1,1,0.6857283707172788,2021-02-24 13:52:48.271933,2021-02-24 13:56:16.982098,0 days 00:03:28.710165,1.4957738544194282e-05,70,0.9953553986619891,9.623467504603248,0.7047079122504314,0.7017500616218881,0.7088982006408676,COMPLETE
2,2,0.7019965491742667,2021-02-24 13:56:16.982683,2021-02-24 13:57:38.681102,0 days 00:01:21.698419,1.4501880352658637e-05,90,0.9938556396879307,5.683416329652228,0.7106236135075179,0.7088982006408676,0.7019965491742667,PRUNED
3,3,0.696820310574316,2021-02-24 13:57:38.681320,2021-02-24 14:01:05.754189,0 days 00:03:27.072869,6.247216662567621e-05,40,0.9906628883760018,15.122493749738114,0.7027360118314026,0.7096376632980035,,COMPLETE
4,4,0.7024895242790239,2021-02-24 14:01:05.754756,2021-02-24 14:01:18.605259,0 days 00:00:12.850503,0.013564151605542512,90,0.997685747906397,1.622729824568962,0.7024895242790239,,,PRUNED
5,5,0.7042149371456742,2021-02-24 14:01:18.605426,2021-02-24 14:04:45.303128,0 days 00:03:26.697702,0.0012089384735974502,50,0.9948272940469084,2.6968175098740477,0.706186837564703,,,COMPLETE
6,6,0.7091446881932463,2021-02-24 14:04:45.303703,2021-02-24 14:04:58.553663,0 days 00:00:13.249960,1.9499858722979986e-05,30,0.9957192598298749,14.229599083845168,0.7091446881932463,,,PRUNED
7,7,0.7049543998028099,2021-02-24 14:04:58.553843,2021-02-24 14:06:20.347266,0 days 00:01:21.793423,0.0008712106115597646,30,0.9989046905329476,13.602785503306668,0.7054473749075671,0.7049543998028099,,PRUNED
8,8,0.7088982006408676,2021-02-24 14:06:20.347478,2021-02-24 14:06:33.608256,0 days 00:00:13.260778,0.00010184570913501804,100,0.9972695919810423,8.25786762789467,0.7088982006408676,,,PRUNED
9,9,0.6982992358885877,2021-02-24 14:06:33.608462,2021-02-24 14:06:46.855372,0 days 00:00:13.246910,9.080004473145629e-05,10,0.9974320567718169,17.079527765408375,0.6982992358885877,,,PRUNED
10,10,0.7059403500123244,2021-02-24 14:06:46.855577,2021-02-24 14:08:08.638773,0 days 00:01:21.783196,9.677518551039128e-05,40,0.9922734126736307,13.135844520734762,0.7059403500123244,,,PRUNED
11,11,0.7076657628789746,2021-02-24 14:08:08.638953,2021-02-24 14:08:21.897934,0 days 00:00:13.258981,5.604427670811326e-05,40,0.9916552304468172,17.17652159749191,0.7076657628789746,,,PRUNED
12,12,0.7007641114123737,2021-02-24 14:08:21.898115,2021-02-24 14:08:52.268945,0 days 00:00:30.370830,0.00012401839674086322,70,0.9950167102821103,19.4923834616569,0.7096376632980035,0.7007641114123737,,PRUNED
13,13,0.7049543998028099,2021-02-24 14:08:52.269134,2021-02-24 14:09:22.610689,0 days 00:00:30.341555,0.005610025810146725,80,0.9984836906733779,4.368716864810063,0.7049543998028099,,,PRUNED
14,14,0.7049543998028099,2021-02-24 14:09:22.610875,2021-02-24 14:09:53.057389,0 days 00:00:30.446514,0.0026845788520419795,10,0.9972924461066494,17.811577730751612,0.7049543998028099,,,PRUNED
15,15,0.7027360118314026,2021-02-24 14:09:53.057598,2021-02-24 14:13:22.021116,0 days 00:03:28.963518,0.0014959004672634396,20,0.9975844129300343,1.2081816711008364,0.7101306384027607,,,COMPLETE
16,16,0.7044614246980527,2021-02-24 14:13:22.021705,2021-02-24 14:13:52.449219,0 days 00:00:30.427514,0.0005568528201209345,30,0.9955725834683509,18.952986727470613,0.7044614246980527,,,PRUNED
17,17,0.7084052255361104,2021-02-24 14:13:52.449432,2021-02-24 14:14:05.796042,0 days 00:00:13.346610,7.013402012811116e-05,100,0.9905823344725069,0.5651822194123655,0.7084052255361104,,,PRUNED
18,18,0.7049543998028099,2021-02-24 14:14:05.796274,2021-02-24 14:15:27.625491,0 days 00:01:21.829217,0.0014244548801264844,30,0.9912437391507418,11.075523463512317,0.7049543998028099,,,PRUNED
19,19,0.7049543998028099,2021-02-24 14:15:27.625651,2021-02-24 14:15:40.948393,0 days 00:00:13.322742,0.002809911269738743,10,0.9907391139009392,7.233381843498969,0.7049543998028099,,,PRUNED
20,20,0.7056938624599458,2021-02-24 14:15:40.948579,2021-02-24 14:15:54.221166,0 days 00:00:13.272587,0.0007701340333443226,60,0.9930781977991884,12.457580221101225,0.7056938624599458,,,PRUNED
21,21,0.7088982006408676,2021-02-24 14:15:54.221377,2021-02-24 14:17:16.137880,0 days 00:01:21.916503,4.070614184479523e-05,40,0.9906387574173158,18.335355857250246,0.7088982006408676,,,PRUNED
22,22,0.7054473749075671,2021-02-24 14:17:16.138072,2021-02-24 14:17:29.396023,0 days 00:00:13.257951,1.1744373758147173e-05,80,0.9934810339829082,5.314171701135545,0.7054473749075671,,,PRUNED
23,23,0.7049543998028099,2021-02-24 14:17:29.396208,2021-02-24 14:18:51.357426,0 days 00:01:21.961218,0.011806616182843368,40,0.9978908711364516,3.4653285899638315,0.7049543998028099,0.7049543998028099,,PRUNED
24,24,0.7049543998028099,2021-02-24 14:18:51.357591,2021-02-24 14:20:13.109266,0 days 00:01:21.751675,0.006905580986032566,30,0.9963838465207643,12.285983875599005,0.7049543998028099,0.7049543998028099,,PRUNED
25,25,0.7032289869361598,2021-02-24 14:20:13.109489,2021-02-24 14:20:26.291146,0 days 00:00:13.181657,1.0529285457590237e-05,80,0.9960281597544308,4.137812354601814,0.7032289869361598,,,PRUNED
26,26,0.7019965491742667,2021-02-24 14:20:26.291333,2021-02-24 14:20:39.518593,0 days 00:00:13.227260,2.5027838380993622e-05,50,0.993570008602986,10.685608152656137,0.7019965491742667,,,PRUNED
27,27,0.7047079122504314,2021-02-24 14:20:39.518787,2021-02-24 14:21:09.963335,0 days 00:00:30.444548,0.0004253843690011745,40,0.9949478234142788,13.492915388417508,0.7047079122504314,,,PRUNED
28,28,0.703721962040917,2021-02-24 14:21:09.963529,2021-02-24 14:21:23.114820,0 days 00:00:13.151291,0.00038159586685097905,70,0.99447957536271,3.362985182923582,0.703721962040917,,,PRUNED
29,29,0.7032289869361598,2021-02-24 14:21:23.115038,2021-02-24 14:21:36.270801,0 days 00:00:13.155763,0.0003280998720159566,90,0.998814474294889,8.405208094782138,0.7032289869361598,,,PRUNED
30,30,0.7079122504313532,2021-02-24 14:21:36.270993,2021-02-24 14:25:05.149337,0 days 00:03:28.878344,0.0006152888290097217,50,0.9926658510990403,8.131360017479308,0.7049543998028099,0.7071727877742174,,COMPLETE
31,31,0.703721962040917,2021-02-24 14:25:05.149924,2021-02-24 14:25:18.497785,0 days 00:00:13.347861,3.0108331213606154e-05,60,0.9922350940874054,10.521545305495234,0.703721962040917,,,PRUNED
32,32,0.7029824993837811,2021-02-24 14:25:18.497958,2021-02-24 14:25:31.707031,0 days 00:00:13.209073,1.0869399795088262e-05,80,0.9945941638087775,6.028097831704213,0.7029824993837811,,,PRUNED
33,33,0.7042149371456742,2021-02-24 14:25:31.707249,2021-02-24 14:25:44.877190,0 days 00:00:13.169941,0.0012721159644475824,100,0.9961018118541639,13.317208966580102,0.7042149371456742,,,PRUNED
34,34,0.7052008873551886,2021-02-24 14:25:44.877379,2021-02-24 14:27:06.840923,0 days 00:01:21.963544,0.00045011666987067745,10,0.9907275675417727,13.043899299121309,0.7052008873551886,,,PRUNED
35,35,0.7049543998028099,2021-02-24 14:27:06.841139,2021-02-24 14:27:20.206660,0 days 00:00:13.365521,0.010119651799228663,70,0.992493364832682,8.908007637068089,0.7049543998028099,,,PRUNED
36,36,0.6936159723933941,2021-02-24 14:27:20.206835,2021-02-24 14:27:50.619933,0 days 00:00:30.413098,1.0331376077361901e-05,80,0.9930821274944486,7.978646910079339,0.6936159723933941,,,PRUNED
37,37,0.7010105989647523,2021-02-24 14:27:50.620125,2021-02-24 14:28:03.889090,0 days 00:00:13.268965,3.889135611525403e-05,50,0.9941718539241071,2.685857283500709,0.7010105989647523,,,PRUNED
38,38,0.6987922109933449,2021-02-24 14:28:03.889305,2021-02-24 14:28:34.199492,0 days 00:00:30.310187,7.430091022663775e-05,60,0.992782805024138,8.16187386628128,0.6987922109933449,,,PRUNED
39,39,0.7052008873551886,2021-02-24 14:28:34.199711,2021-02-24 14:28:47.463037,0 days 00:00:13.263326,0.00024022562297409798,70,0.9952189518251484,19.704082057405035,0.7052008873551886,,,PRUNED
40,40,0.703721962040917,2021-02-24 14:28:47.463234,2021-02-24 14:29:17.894349,0 days 00:00:30.431115,0.00016183355553118456,90,0.9951932702098751,6.10616183303576,0.7091446881932463,0.703721962040917,,PRUNED
41,41,0.7034754744885383,2021-02-24 14:29:17.894531,2021-02-24 14:29:31.153002,0 days 00:00:13.258471,0.00018310224292555007,90,0.996683219442692,5.938657668236426,0.7034754744885383,,,PRUNED
42,42,0.6923835346315012,2021-02-24 14:29:31.153219,2021-02-24 14:30:53.089862,0 days 00:01:21.936643,0.00010142710018915628,60,0.9934260550755926,9.219762189162598,0.7052008873551886,0.6923835346315012,,PRUNED
43,43,0.7042149371456742,2021-02-24 14:30:53.090087,2021-02-24 14:32:15.013563,0 days 00:01:21.923476,9.800648111017036e-05,50,0.9906889128916747,14.7579732560191,0.7042149371456742,,,PRUNED
44,44,0.7019965491742667,2021-02-24 14:32:15.013741,2021-02-24 14:32:28.224357,0 days 00:00:13.210616,2.211114515185483e-05,90,0.9938960639006676,6.959722624136021,0.7019965491742667,,,PRUNED
45,45,0.7039684495932955,2021-02-24 14:32:28.224551,2021-02-24 14:33:50.034898,0 days 00:01:21.810347,1.0135698530054717e-05,100,0.9909686381628592,5.760057747745875,0.7128420014789253,0.7039684495932955,,PRUNED
46,46,0.7049543998028099,2021-02-24 14:33:50.035099,2021-02-24 14:35:11.898329,0 days 00:01:21.863230,0.001038638081206597,70,0.9907028417665663,9.230249894548736,0.7049543998028099,,,PRUNED
47,47,0.7044614246980527,2021-02-24 14:35:11.898527,2021-02-24 14:35:25.063115,0 days 00:00:13.164588,0.0017916222021394778,80,0.9953124674638184,4.6581048199376145,0.7044614246980527,,,PRUNED
48,48,0.7000246487552378,2021-02-24 14:35:25.063338,2021-02-24 14:35:55.510188,0 days 00:00:30.446850,0.00020102387165480757,80,0.9921151449673029,0.6056668087251911,0.7000246487552378,,,PRUNED
49,49,0.7052008873551886,2021-02-24 14:35:55.510393,2021-02-24 14:36:08.716808,0 days 00:00:13.206415,0.004193462487250243,100,0.9965771160274406,9.734141041974684,0.7052008873551886,,,PRUNED
50,50,0.709884150850382,2021-02-24 14:36:08.717029,2021-02-24 14:39:37.467394,0 days 00:03:28.750365,2.288865014412235e-05,70,0.9940194204231213,10.1162867002464,0.7224550160216909,0.7086517130884891,,COMPLETE
51,51,0.7056938624599458,2021-02-24 14:39:37.468032,2021-02-24 14:40:08.044149,0 days 00:00:30.576117,4.524205943318184e-05,90,0.9985184887885102,11.676649477796895,0.7121025388217895,0.7056938624599458,,PRUNED
52,52,0.700517623859995,2021-02-24 14:40:08.044355,2021-02-24 14:40:21.313420,0 days 00:00:13.269065,1.5238148774887513e-05,60,0.998044767931614,11.308821670951394,0.700517623859995,,,PRUNED
53,53,0.7049543998028099,2021-02-24 14:40:21.313647,2021-02-24 14:41:43.065428,0 days 00:01:21.751781,0.0004923751135699348,50,0.9941891239810174,8.158780477443226,0.7049543998028099,,,PRUNED
54,54,0.6941089474981513,2021-02-24 14:41:43.065632,2021-02-24 14:41:56.477865,0 days 00:00:13.412233,4.391468943033129e-05,80,0.9914901385849598,14.693988881378342,0.6941089474981513,,,PRUNED
55,55,0.7042149371456742,2021-02-24 14:41:56.478073,2021-02-24 14:42:26.739670,0 days 00:00:30.261597,1.0495237315900069e-05,90,0.9987653172879145,12.058788527871243,0.7081587379837319,0.7042149371456742,,PRUNED
56,56,0.7000246487552378,2021-02-24 14:42:26.739874,2021-02-24 14:42:40.014317,0 days 00:00:13.274443,1.0034168331497529e-05,90,0.9987663640933537,11.981150277674667,0.7000246487552378,,,PRUNED
57,57,0.7049543998028099,2021-02-24 14:42:40.014515,2021-02-24 14:44:01.893818,0 days 00:01:21.879303,0.0013919010657770067,90,0.9945224282212449,15.293392187922635,0.7049543998028099,,,PRUNED
58,58,0.703721962040917,2021-02-24 14:44:01.894025,2021-02-24 14:44:15.189458,0 days 00:00:13.295433,1.77819351026831e-05,100,0.9980962703562615,14.515890243963758,0.703721962040917,,,PRUNED
59,59,0.6982992358885877,2021-02-24 14:44:15.189685,2021-02-24 14:44:45.619207,0 days 00:00:30.429522,2.3229731000320196e-05,100,0.9942083903286825,11.185733781758259,0.6982992358885877,,,PRUNED
60,60,0.7007641114123737,2021-02-24 14:44:45.619425,2021-02-24 14:45:16.070310,0 days 00:00:30.450885,3.0349335327650454e-05,90,0.9989424659953908,15.88210985580277,0.7091446881932463,0.7007641114123737,,PRUNED
61,61,0.6918905595267439,2021-02-24 14:45:16.070527,2021-02-24 14:46:38.049967,0 days 00:01:21.979440,1.7122148524866898e-05,80,0.9983205541115495,12.91356314186452,0.707419275326596,0.7145674143455756,0.6918905595267439,PRUNED
