,number,value,datetime_start,datetime_complete,duration,params_lr,params_out_dim,params_scheduler_gamma,params_weight_decay,system_attrs_completed_rung_0,state
0,0,0.7304729971051442,2021-02-21 12:00:36.594644,2021-02-21 12:02:03.669086,0 days 00:01:27.074442,0.0002891298601266827,60,0.9979647007605431,11.691452958847801,0.7081587379837319,COMPLETE
1,1,0.7015035740695095,2021-02-21 12:02:03.669526,2021-02-21 12:02:14.816788,0 days 00:00:11.147262,0.00015813525988148228,90,0.9928220697410015,3.375733109344082,0.7015035740695095,PRUNED
2,2,0.6990386985457234,2021-02-21 12:02:14.817000,2021-02-21 12:02:26.006646,0 days 00:00:11.189646,4.856966708476883e-05,60,0.9922956527307474,18.469598492909178,0.6990386985457234,PRUNED
3,3,0.7071727877742174,2021-02-21 12:02:26.006809,2021-02-21 12:02:37.190768,0 days 00:00:11.183959,0.0006307198082852817,70,0.9938235143876608,7.965820794926035,0.7071727877742174,PRUNED
4,4,0.7268882802832203,2021-02-21 12:02:37.190973,2021-02-21 12:04:02.262219,0 days 00:01:25.071246,0.0003442348055353211,60,0.9940634871245786,1.6540754813490819,0.7160463396598472,COMPLETE
5,5,0.7146976520842653,2021-02-21 12:04:02.262639,2021-02-21 12:05:27.679914,0 days 00:01:25.417275,1.455515279081601e-05,50,0.9946807082028692,18.56621414625619,0.7091446881932463,COMPLETE
6,6,0.700517623859995,2021-02-21 12:05:27.680331,2021-02-21 12:05:38.917388,0 days 00:00:11.237057,1.0442126203495992e-05,90,0.9971030751560327,1.5193521713082558,0.700517623859995,PRUNED
7,7,0.6965738230219374,2021-02-21 12:05:38.917596,2021-02-21 12:05:50.102157,0 days 00:00:11.184561,1.0270659018838361e-05,30,0.9985254938723911,16.40614362655669,0.6965738230219374,PRUNED
8,8,0.7054473749075671,2021-02-21 12:05:50.102345,2021-02-21 12:06:01.146334,0 days 00:00:11.043989,0.0007983278912204387,100,0.9951802984880062,9.074612673103516,0.7054473749075671,PRUNED
9,9,0.7221826270800791,2021-02-21 12:06:01.146511,2021-02-21 12:07:26.359256,0 days 00:01:25.212745,0.0009569083923423595,20,0.9958013633361326,1.4139033118152424,0.7084052255361104,COMPLETE
10,10,0.7049543998028099,2021-02-21 12:07:26.359684,2021-02-21 12:07:37.524138,0 days 00:00:11.164454,0.008039665117126841,40,0.9900476237525252,13.069294497241536,0.7049543998028099,PRUNED
11,11,0.6987922109933449,2021-02-21 12:07:37.524345,2021-02-21 12:07:48.668282,0 days 00:00:11.143937,0.00020575132503700307,70,0.9982543704450139,5.611775892298306,0.6987922109933449,PRUNED
12,12,0.7049543998028099,2021-02-21 12:07:48.668492,2021-02-21 12:07:59.827790,0 days 00:00:11.159298,0.0027684861052344766,70,0.9909591309614213,12.066674786964942,0.7049543998028099,PRUNED
13,13,0.7250113731103841,2021-02-21 12:07:59.827972,2021-02-21 12:09:25.422336,0 days 00:01:25.594364,0.00010416590173196506,50,0.9968867039541883,14.0700521676523,0.7160463396598472,COMPLETE
14,14,0.7047079122504314,2021-02-21 12:09:25.422780,2021-02-21 12:09:36.665616,0 days 00:00:11.242836,0.0033348670659632063,80,0.9934541647641375,6.04731877190022,0.7047079122504314,PRUNED
15,15,0.7319531537615187,2021-02-21 12:09:36.665788,2021-02-21 12:11:01.670969,0 days 00:01:25.005181,0.00025683360186715354,10,0.9963392607538379,10.36927168898556,0.7103771259551392,COMPLETE
16,16,0.7027360118314026,2021-02-21 12:11:01.671389,2021-02-21 12:11:12.773400,0 days 00:00:11.102011,4.302205200043686e-05,10,0.9970299777210445,11.529966023375046,0.7027360118314026,PRUNED
17,17,0.7049543998028099,2021-02-21 12:11:12.773612,2021-02-21 12:11:24.002537,0 days 00:00:11.228925,0.0019346279425991653,30,0.9987693803058341,15.283670646131595,0.7049543998028099,PRUNED
18,18,0.7012570865171309,2021-02-21 12:11:24.002719,2021-02-21 12:11:35.303734,0 days 00:00:11.301015,6.39676245673155e-05,10,0.9960138470329284,9.456581578016245,0.7012570865171309,PRUNED
19,19,0.7330068408415421,2021-02-21 12:11:35.303914,2021-02-21 12:13:00.862650,0 days 00:01:25.558736,0.0003948878996295742,40,0.9976206377978679,10.958469582965025,0.7084052255361104,COMPLETE
20,20,0.7049543998028099,2021-02-21 12:13:00.863110,2021-02-21 12:13:12.051849,0 days 00:00:11.188739,0.008979688915604099,20,0.9962123686942228,6.896838091063111,0.7049543998028099,PRUNED
21,21,0.7294218714347623,2021-02-21 12:13:12.052049,2021-02-21 12:14:37.334794,0 days 00:01:25.282745,0.00033202910112226374,40,0.9977238581133802,10.939848710389395,0.7135814641360612,COMPLETE
22,22,0.7300720141863815,2021-02-21 12:14:37.335251,2021-02-21 12:16:02.721119,0 days 00:01:25.385868,0.00022636564030606047,30,0.9978263258716307,10.169547109588159,0.7091446881932463,COMPLETE
23,23,0.7350926766501902,2021-02-21 12:16:02.721522,2021-02-21 12:17:27.772215,0 days 00:01:25.050693,0.00011021679311554567,40,0.9966900930954486,13.964070179453335,0.7084052255361104,COMPLETE
24,24,0.6906581217648509,2021-02-21 12:17:27.772640,2021-02-21 12:17:38.892112,0 days 00:00:11.119472,2.975608737575455e-05,40,0.9953230795199262,16.250321075461343,0.6906581217648509,PRUNED
25,25,0.7024895242790239,2021-02-21 12:17:38.892290,2021-02-21 12:17:50.301474,0 days 00:00:11.409184,0.00010613250749049969,20,0.9966420243030992,14.861842268831474,0.7024895242790239,PRUNED
26,26,0.7054473749075671,2021-02-21 12:17:50.301683,2021-02-21 12:18:01.532370,0 days 00:00:11.230687,0.001305394316538793,10,0.9973206641562528,13.208416225034702,0.7054473749075671,PRUNED
27,27,0.7015035740695095,2021-02-21 12:18:01.532544,2021-02-21 12:18:12.744290,0 days 00:00:11.211746,0.0005223436481299715,50,0.9952402685022826,8.082939494793482,0.7015035740695095,PRUNED
28,28,0.7000246487552378,2021-02-21 12:18:12.744496,2021-02-21 12:18:23.994317,0 days 00:00:11.249821,0.00011361969836500178,40,0.9963534600404823,19.892403000813204,0.7000246487552378,PRUNED
29,29,0.7205998129081663,2021-02-21 12:18:23.994487,2021-02-21 12:19:49.316731,0 days 00:01:25.322244,2.0371397168278875e-05,30,0.9989270532031314,12.446173178409039,0.713088489031304,COMPLETE
30,30,0.6992851860981021,2021-02-21 12:19:49.317170,2021-02-21 12:20:00.552810,0 days 00:00:11.235640,0.0004016737447717664,20,0.9977161141703219,10.407290418222278,0.6992851860981021,PRUNED
31,31,0.7027360118314026,2021-02-21 12:20:00.552993,2021-02-21 12:20:11.628032,0 days 00:00:11.075039,0.00015382225104549808,60,0.9981525699844288,11.516087189496853,0.7027360118314026,PRUNED
32,32,0.7044614246980527,2021-02-21 12:20:11.628219,2021-02-21 12:20:22.788970,0 days 00:00:11.160751,0.0002587400955944262,50,0.9974354047848435,14.054461790130057,0.7044614246980527,PRUNED
33,33,0.6992851860981021,2021-02-21 12:20:22.789163,2021-02-21 12:20:34.039992,0 days 00:00:11.250829,7.345796064445458e-05,60,0.9965873094186767,8.448698342292621,0.6992851860981021,PRUNED
34,34,0.7052008873551886,2021-02-21 12:20:34.040159,2021-02-21 12:20:45.353395,0 days 00:00:11.313236,0.0005206173600368327,80,0.9958539509039263,17.156438411257437,0.7052008873551886,PRUNED
35,35,0.7264324465122244,2021-02-21 12:20:45.353593,2021-02-21 12:22:10.991563,0 days 00:01:25.637970,0.00015958476190869222,50,0.9989939013582458,4.766171198129547,0.709884150850382,COMPLETE
36,36,0.7047079122504314,2021-02-21 12:22:10.992006,2021-02-21 12:22:22.109819,0 days 00:00:11.117813,0.001169411242418448,60,0.9944985429485067,10.068988120824104,0.7047079122504314,PRUNED
37,37,0.7042149371456742,2021-02-21 12:22:22.110018,2021-02-21 12:22:33.420342,0 days 00:00:11.310324,0.0003806097643727078,80,0.998217918114811,13.784577942721354,0.7042149371456742,PRUNED
38,38,0.7054473749075671,2021-02-21 12:22:33.420506,2021-02-21 12:22:44.711084,0 days 00:00:11.290578,0.0006790749726890216,40,0.9971827270262063,12.657087868701229,0.7054473749075671,PRUNED
39,39,0.7047079122504314,2021-02-21 12:22:44.711270,2021-02-21 12:22:55.951905,0 days 00:00:11.240635,0.00026057450039851995,70,0.9920760066252534,7.203036259001937,0.7047079122504314,PRUNED
40,40,0.7022430367266453,2021-02-21 12:22:55.952112,2021-02-21 12:23:07.219900,0 days 00:00:11.267788,4.0279447218575545e-05,50,0.9956752208807046,9.085742481438766,0.7022430367266453,PRUNED
41,41,0.700517623859995,2021-02-21 12:23:07.220089,2021-02-21 12:23:18.435072,0 days 00:00:11.214983,0.0002009477436940327,30,0.9977918116839992,11.269283112135549,0.700517623859995,PRUNED
42,42,0.7206181042642791,2021-02-21 12:23:18.435289,2021-02-21 12:24:43.839652,0 days 00:01:25.404363,7.588880586476603e-05,30,0.9979068190792054,10.40404069183729,0.707419275326596,COMPLETE
43,43,0.7017500616218881,2021-02-21 12:24:43.840116,2021-02-21 12:24:55.084234,0 days 00:00:11.244118,0.00014023607461639956,40,0.9986821849603799,15.059818914909805,0.7017500616218881,PRUNED
44,44,0.7047079122504314,2021-02-21 12:24:55.084426,2021-02-21 12:25:06.468731,0 days 00:00:11.384305,0.00026532636740329125,30,0.9968408234239221,9.700176303411082,0.7047079122504314,PRUNED
