,number,value,datetime_start,datetime_complete,duration,params_lr,params_out_dim,params_scheduler_gamma,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.6986930469041344,2021-02-22 18:33:47.107255,2021-02-22 18:48:35.734451,0 days 00:14:48.627196,1.3254160009197048e-05,10,0.9900455170415013,12.52149243621905,0.7069263002218388,0.6847424205077643,,COMPLETE
1,1,0.7090230888563107,2021-02-22 18:48:35.735065,2021-02-22 19:03:22.858672,0 days 00:14:47.123607,0.00023304685749925616,10,0.9910579960601177,7.73051352774289,0.7042149371456742,0.7049543998028099,0.7064333251170816,COMPLETE
2,2,0.6543943658014169,2021-02-22 19:03:22.859264,2021-02-22 19:18:12.240257,0 days 00:14:49.380993,2.0134510912810672e-05,70,0.9910519733263181,5.720434303223938,0.7069263002218388,0.7091446881932463,,COMPLETE
3,3,0.6893283630957212,2021-02-22 19:18:12.240807,2021-02-22 19:33:00.736281,0 days 00:14:48.495474,4.283819537530291e-05,100,0.9939058119059229,15.784165238103318,0.7106236135075179,0.7054473749075671,0.7093911757456248,COMPLETE
4,4,0.7319678634953988,2021-02-22 19:33:00.736858,2021-02-22 19:47:49.409480,0 days 00:14:48.672622,0.0018747973438390207,60,0.9972890123150325,19.908443634173146,0.7049543998028099,,,COMPLETE
5,5,0.703721962040917,2021-02-22 19:47:49.410054,2021-02-22 19:48:15.312029,0 days 00:00:25.901975,2.7128382535250846e-05,90,0.9957561160347461,18.483396105824944,0.703721962040917,,,PRUNED
6,6,0.7044614246980527,2021-02-22 19:48:15.312211,2021-02-22 19:48:26.836295,0 days 00:00:11.524084,0.0008378390475020566,30,0.9906735802038014,19.701109641808284,0.7044614246980527,,,PRUNED
7,7,0.7047079122504314,2021-02-22 19:48:26.836454,2021-02-22 19:48:52.703368,0 days 00:00:25.866914,0.0003607774887683616,20,0.9903817513605278,5.12761937852669,0.7047079122504314,,,PRUNED
8,8,0.6970667981266946,2021-02-22 19:48:52.703541,2021-02-22 19:49:18.822313,0 days 00:00:26.118772,0.013754430645846407,70,0.9979653825036978,0.10542729516400881,0.6970667981266946,,,PRUNED
9,9,0.6879467586886863,2021-02-22 19:49:18.822516,2021-02-22 19:50:28.453985,0 days 00:01:09.631469,4.976083685527673e-05,100,0.9941201877467103,1.173892074194344,0.707419275326596,0.6879467586886863,,PRUNED
10,10,0.7049543998028099,2021-02-22 19:50:28.454145,2021-02-22 19:50:54.351018,0 days 00:00:25.896873,0.0030867416152023375,70,0.9989673403660576,16.957829936822552,0.7049543998028099,,,PRUNED
11,11,0.6970667981266946,2021-02-22 19:50:54.351200,2021-02-22 19:52:04.022220,0 days 00:01:09.671020,0.00022719721039001156,70,0.9983437279054385,9.30567249306244,0.6970667981266946,,,PRUNED
12,12,0.7032289869361598,2021-02-22 19:52:04.022401,2021-02-22 19:52:15.485033,0 days 00:00:11.462632,0.004703317666118773,100,0.9934288721770533,0.6997671842806282,0.7032289869361598,,,PRUNED
13,13,0.7024895242790239,2021-02-22 19:52:15.485224,2021-02-22 19:52:41.689577,0 days 00:00:26.204353,1.9844443213923206e-05,70,0.997848192779085,8.047049752565979,0.7108701010598965,0.7024895242790239,,PRUNED
14,14,0.7319678634953988,2021-02-22 19:52:41.689738,2021-02-22 20:07:29.992563,0 days 00:14:48.302825,0.011721361492604481,30,0.9930820533557263,12.420605004327415,0.7049543998028099,,,COMPLETE
15,15,0.7319678634953988,2021-02-22 20:07:29.993124,2021-02-22 20:22:18.897544,0 days 00:14:48.904420,0.00643307297471699,10,0.995695307478074,17.39001333554157,0.7049543998028099,,,COMPLETE
16,16,0.7059403500123244,2021-02-22 20:22:18.898132,2021-02-22 20:22:30.342373,0 days 00:00:11.444241,8.231543011000481e-05,20,0.997279522738601,2.637518749999,0.7059403500123244,,,PRUNED
17,17,0.7007641114123737,2021-02-22 20:22:30.342548,2021-02-22 20:22:41.921663,0 days 00:00:11.579115,1.1467747350723937e-05,100,0.9952619169186248,12.279412448321953,0.7007641114123737,,,PRUNED
18,18,0.6953413852600444,2021-02-22 20:22:41.921879,2021-02-22 20:22:53.247178,0 days 00:00:11.325299,6.584849138069511e-05,90,0.9980090973551058,14.252915455628283,0.6953413852600444,,,PRUNED
19,19,0.7049543998028099,2021-02-22 20:22:53.247357,2021-02-22 20:23:04.850868,0 days 00:00:11.603511,0.011208225771347998,30,0.9945255204985454,10.923918451321057,0.7049543998028099,,,PRUNED
20,20,0.7042149371456742,2021-02-22 20:23:04.851045,2021-02-22 20:24:14.860484,0 days 00:01:10.009439,0.0004672855066887713,80,0.9969355753291809,9.840271109128095,0.706186837564703,0.7069263002218388,0.7042149371456742,PRUNED
21,21,0.7049543998028099,2021-02-22 20:24:14.860680,2021-02-22 20:24:26.383742,0 days 00:00:11.523062,0.001944012386679459,50,0.9906145767446448,5.19751629476211,0.7049543998028099,,,PRUNED
22,22,0.7049543998028099,2021-02-22 20:24:26.383919,2021-02-22 20:24:52.393658,0 days 00:00:26.009739,0.016508776712772694,50,0.995240484226295,16.296965853013422,0.7049543998028099,,,PRUNED
23,23,0.7044614246980527,2021-02-22 20:24:52.393852,2021-02-22 20:25:03.742563,0 days 00:00:11.348711,0.00011099743197655336,10,0.991918408144602,17.315006451854522,0.7044614246980527,,,PRUNED
24,24,0.7042149371456742,2021-02-22 20:25:03.742756,2021-02-22 20:25:29.956617,0 days 00:00:26.213861,0.00019096846016657213,50,0.9926251284323897,6.044254972449742,0.7096376632980035,0.7042149371456742,,PRUNED
25,25,0.7059403500123244,2021-02-22 20:25:29.956802,2021-02-22 20:25:56.078025,0 days 00:00:26.121223,0.0005854814000907576,60,0.9959435884749576,10.012111470368016,0.7059403500123244,,,PRUNED
26,26,0.6990386985457234,2021-02-22 20:25:56.078214,2021-02-22 20:26:07.469965,0 days 00:00:11.391751,2.9939090998631074e-05,70,0.9958580928357733,15.320004197235349,0.6990386985457234,,,PRUNED
27,27,0.7049543998028099,2021-02-22 20:26:07.470181,2021-02-22 20:27:16.997751,0 days 00:01:09.527570,0.00039568881593250325,10,0.9915700029522567,19.816509805380726,0.706186837564703,0.7059403500123244,0.7049543998028099,PRUNED
28,28,0.6579791551074322,2021-02-22 20:27:16.997938,2021-02-22 20:42:06.122915,0 days 00:14:49.124977,0.00019361783710457583,40,0.9956277667348897,0.6633257363930445,0.73675129405965,,,COMPLETE
29,29,0.707419275326596,2021-02-22 20:42:06.123487,2021-02-22 20:43:15.799258,0 days 00:01:09.675771,0.00014115968484466415,50,0.9932862502380755,12.369348830716747,0.709884150850382,0.707419275326596,,PRUNED
30,30,0.7047079122504314,2021-02-22 20:43:15.799421,2021-02-22 20:44:25.633488,0 days 00:01:09.834067,0.0026838193591696724,70,0.9979406816420917,8.128084734656602,0.7047079122504314,,,PRUNED
31,31,0.7029824993837811,2021-02-22 20:44:25.633658,2021-02-22 20:44:37.127810,0 days 00:00:11.494152,3.420612711069264e-05,40,0.9933919094749823,8.072778015099109,0.7029824993837811,,,PRUNED
32,32,0.7049543998028099,2021-02-22 20:44:37.128024,2021-02-22 20:45:03.315915,0 days 00:00:26.187891,0.0015904085876364937,10,0.9920963021377314,13.930464938891324,0.7049543998028099,,,PRUNED
33,33,0.6896721715553364,2021-02-22 20:45:03.316118,2021-02-22 20:46:12.976702,0 days 00:01:09.660584,1.4605869978151537e-05,30,0.9900703420415422,6.257373972964824,0.7160463396598472,0.6896721715553364,,PRUNED
34,34,0.7054473749075671,2021-02-22 20:46:12.976890,2021-02-22 20:46:39.008683,0 days 00:00:26.031793,0.00022999053239296477,70,0.9900824994736473,13.736933587717873,0.713088489031304,0.7054473749075671,,PRUNED
35,35,0.7052008873551886,2021-02-22 20:46:39.008864,2021-02-22 20:46:50.382996,0 days 00:00:11.374132,1.1126010010515352e-05,60,0.9937846504896257,16.713698311319533,0.7052008873551886,,,PRUNED
36,36,0.7029824993837811,2021-02-22 20:46:50.383222,2021-02-22 20:47:01.739514,0 days 00:00:11.356292,0.0011518886260193173,90,0.9917513600356246,3.612726726827672,0.7029824993837811,,,PRUNED
37,37,0.6990386985457234,2021-02-22 20:47:01.739735,2021-02-22 20:47:13.244321,0 days 00:00:11.504586,4.439316368688925e-05,30,0.9961584236413112,9.786101402892397,0.6990386985457234,,,PRUNED
38,38,0.6901764762656377,2021-02-22 20:47:13.244515,2021-02-22 21:02:17.197394,0 days 00:15:03.952879,0.00016462259170168527,20,0.9945982002420946,7.002814858692428,0.7116095637170323,0.7069263002218388,0.7214690658121765,COMPLETE
39,39,0.6913975844219867,2021-02-22 21:02:17.197988,2021-02-22 21:03:31.222896,0 days 00:01:14.024908,6.815014036137311e-05,80,0.9917067237893189,6.463407680595289,0.7263988168597486,0.6913975844219867,,PRUNED
40,40,0.7042149371456742,2021-02-22 21:03:31.223066,2021-02-22 21:03:57.645871,0 days 00:00:26.422805,1.2589174258089005e-05,40,0.9912778545335726,9.513148159586441,0.7042149371456742,,,PRUNED
41,41,0.750540490516846,2021-02-22 21:03:57.646072,2021-02-22 21:18:51.465722,0 days 00:14:53.819650,0.018051879857337708,30,0.9952576830166442,16.092842226531925,0.7049543998028099,,,COMPLETE
42,42,0.751324447113366,2021-02-22 21:18:51.466335,2021-02-22 21:33:53.995817,0 days 00:15:02.529482,0.0014429969454960736,90,0.9913202158494463,17.45321124156282,0.7052008873551886,,,COMPLETE
43,43,0.7327093889191275,2021-02-22 21:33:53.996415,2021-02-22 21:49:20.609777,0 days 00:15:26.613362,0.0034578631544163844,70,0.9979390135816161,15.719523516462878,0.7049543998028099,,,COMPLETE
44,44,0.7022430367266453,2021-02-22 21:49:20.610381,2021-02-22 21:49:32.719355,0 days 00:00:12.108974,0.00015457666309133598,10,0.9945200199013684,7.704156081103239,0.7022430367266453,,,PRUNED
45,45,0.7032289869361598,2021-02-22 21:49:32.719578,2021-02-22 21:50:45.234261,0 days 00:01:12.514683,0.0004505274600110519,20,0.9952848305839394,5.9823069926942924,0.7086517130884891,0.7069263002218388,0.7032289869361598,PRUNED
46,46,0.7056938624599458,2021-02-22 21:50:45.234452,2021-02-22 21:50:57.360277,0 days 00:00:12.125825,0.00027390467287703463,20,0.9923918182870575,11.762891015173405,0.7056938624599458,,,PRUNED
47,47,0.7039684495932955,2021-02-22 21:50:57.360510,2021-02-22 21:51:09.436893,0 days 00:00:12.076383,7.084506343773844e-05,40,0.9939761611371907,4.2352271126371885,0.7039684495932955,,,PRUNED
48,48,0.7044614246980527,2021-02-22 21:51:09.437097,2021-02-22 21:52:21.818633,0 days 00:01:12.381536,3.534143031752513e-05,50,0.9977906993019694,0.6595003340342686,0.7044614246980527,,,PRUNED
49,49,0.6921370470791225,2021-02-22 21:52:21.818816,2021-02-22 21:52:49.101621,0 days 00:00:27.282805,1.1340540612721088e-05,100,0.9901146920336776,4.142240546287963,0.6921370470791225,,,PRUNED
50,50,0.7042149371456742,2021-02-22 21:52:49.101818,2021-02-22 21:54:01.646672,0 days 00:01:12.544854,0.00011759645097302772,10,0.9928866166304867,1.165282004035494,0.7079122504313532,0.709884150850382,0.7042149371456742,PRUNED
51,51,0.7054473749075671,2021-02-22 21:54:01.646877,2021-02-22 21:54:29.049213,0 days 00:00:27.402336,0.00015048162715144004,80,0.9927157484079143,9.511851731546859,0.7054473749075671,,,PRUNED
52,52,0.6970667981266946,2021-02-22 21:54:29.049419,2021-02-22 21:54:41.148173,0 days 00:00:12.098754,2.410684433522875e-05,20,0.995197907383648,7.244676133933572,0.6970667981266946,,,PRUNED
53,53,0.7083530608169053,2021-02-22 21:54:41.148400,2021-02-22 22:09:58.137141,0 days 00:15:16.988741,0.000775692957667783,100,0.99005165594562,4.999570302928692,0.706186837564703,,,COMPLETE
54,54,0.7054473749075671,2021-02-22 22:09:58.137760,2021-02-22 22:11:10.643623,0 days 00:01:12.505863,3.492778737188211e-05,30,0.9910085891088787,12.487869625827408,0.7298496425930491,0.7054473749075671,,PRUNED
55,55,0.7027360118314026,2021-02-22 22:11:10.643851,2021-02-22 22:12:23.359578,0 days 00:01:12.715727,1.163493466201681e-05,10,0.9938468328229715,2.4638361400225097,0.7111165886122751,0.7027360118314026,,PRUNED
56,56,0.7054473749075671,2021-02-22 22:12:23.359786,2021-02-22 22:12:35.488237,0 days 00:00:12.128451,0.000839696390952815,40,0.9910183532753716,8.445596782941335,0.7054473749075671,,,PRUNED
